MANDT,KUNNR,BANKS,BANKL,BANKN,BKONT,BVTYP,XEZER,BANKA,SWIFT,IBAN
100,0000001851,CH,71409393,2344736392,,,,小林ガス有限会社,LNBIGBCOC39,GB46TBOI96762266313319
100,0000001209,BR,79483977,1398133341,,,,Smith PLC,PWOEGBHML1M,FR5989232191452713507400111
100,0000001947,CH,77655485,2799167071,,,,Perry-Rogers,IGFHGBKJ2XD,GB67HLAH25662888437573
100,0000000267,ES,69460317,6468892463,,,,Adams-George,EGJBFRCU9SU,FR4523705722112699016423275
100,0000001121,BR,13582654,3494750183,,,,"Lee, Wallace and Taylor",NEUUFRY8GDB,GB37UWFT99708585204968
100,0000001373,KR,79758512,5480986073,,,,Almeida Ltda.,PLUBGB52,GB15RYNG49221798373717
100,0000000495,PL,03066390,4268342941,,,,"Lowe, Delgado and Malone",JTTSGB996JC,DE54079212204746394264
100,0000001861,NL,71007586,0609682621,,,,Garcia-Cannon,CYNJGBQT,FR5197923663121649650258350
100,0000001128,US,18178090,3812392445,,,,Zorbach Albers GmbH   ,HXKAGBU4UKD,GB28NTHL07366335850665
100,0000001466,PL,65884849,1056185810,,,,合同会社田中農林,XQHQDEWL,GB27GJCW46716127318807
100,0000000339,GB,53328150,8881899610,,,,Gilles Regnier et Fils,MOIOFR6A,GB54PUVF19107071871924
100,0000001833,CH,08394998,8921477736,,,,Traore S.A.R.L.   ,OLBPGBOJ,FR3046318267523061377095041
100,0000000376,MX,85275455,5078968406,,,,合同会社石井水産,PKCWGBX4,GB43LQCX56453097343123
100,0000000841,BR,08667071,5047509569,,,,Pastor Pinto S.A.,GFJEGB6QG3R,GB97DRLW41115323658002
100,0000000446,AT,73675591,5112335338,,,,"Carpenter, Taylor and Rogers",ETHIGBPU,GB20FJYH88924170511804
100,0000001781,ES,49723119,0713835064,,,,Jesus   ,SYASGBVEHYM,GB11WZOB89876883536705
100,0000001350,CN,77747639,9812645097,,,,Blümel,KFWQGB8C,GB54ZFSQ60911159243238
100,0000001727,CA,34026950,9430564080,,,,Lima,OCJBGB0UVND,GB54SIFB80583316103556
100,0000000146,PL,30961650,4262947845,,,,Cassiano Ltda.,CLKSGBP7,GB33AXKX90503519869259
100,0000000467,CN,23548945,0930914861,,,,石井鉱業有限会社   ,PIQJDELJ,DE44240292554017108809
100,0000001452,IT,09545901,7025626280,,,,Bonnet,YZRCGB4S,DE20498554295834323090
100,0000000382,GB,30678809,3795133197,,,,Fonseca,NQYLGB4ORTR,FR9025274431126672662351930
100,0000001952,SE,63049535,8109983630,,,,Sales - EI,VQXIGB12VQ4,GB30LHEU95389486762268
100,0000001818,US,71819782,3764832283,,,,Bauer AG,DBXLGBYLYBD,DE74036128433577466365
100,0000001830,KR,27994599,9519615559,,,,Pires da Luz e Filhos,COHCDEF5EYT,GB61XERW36569280913028
100,0000000407,ES,06148059,7514473927,,,,"Watts, Miller and Pace",BBUYFRY3,GB67KLXI69431290600556
100,0000000863,IN,36231945,8768248193,,,,Laine,IBUXGBVS,GB21MTAO48377474757274
100,0000000395,KR,20851707,9907984970,,,,"Green, Cox and Ali",HDQCGB04RX6,FR3339098279734934542330239
100,0000000626,MX,92185444,2471998791,,,,Vargas S/A,ORPFFRJQPT0,GB02AQWC94909136296398
100,0000000775,KR,78712197,8354483331,,,,Williams-Moore   ,BYLQGBBX,GB10YNMF29883494772176
100,0000001029,JP,13044725,7492850990,,,,Graham PLC   ,HJSFGBWUWO5,DE63330548154722464579
100,0000000865,IN,73719925,2696454104,,,,"Russell, Vega and Berry",DYKYFRS0,GB59PQWV22225049519094
100,0000001235,AU,36135040,1192251767,,,,Walton-Davies   ,EVHOFRH1DFV,GB26DCJP21656808659818
100,0000000037,ES,84318582,4319702041,,,,Denis   ,LLBPDEKP,GB94HHRG64495656705327
100,0000000297,IN,54226973,9190781560,,,,Valette Dias SA,KBDTGBDHBJT,FR8909156757765235904729072
100,0000001503,IN,56940046,2629906158,,,,Hall PLC,KKYOGBZR,GB76IHPN54793219002017
100,0000000376,CH,31331131,9046124462,,,,合同会社清水保険   ,HVPBGBL3,GB23DAEI55835608289939
100,0000001410,IT,90287623,0736678920,,,,Fouquet,TSZHGBJQ68D,FR6229582254142174714816215
100,0000001013,IT,74156561,3665826137,,,,Kelley LLC,BHNJGB3G,GB78RNBW17208170432711
100,0000001443,KR,15380615,7122709707,,,,"Jordan, Bates and Smith",BGYTGBFS3VU,GB53MHGX19944667622134
100,0000001269,AT,87985337,3218508680,,,,有限会社橋本建設,RXDFGBQ3,GB21AGZX99207904720964
100,0000001733,BE,36392521,7897231436,,,,Seguin SARL,ESUSFRZ0,GB45PFIN78727977603181
100,0000000650,IN,04771646,1221085141,,,,田中通信合同会社   ,EDCBGBWQ5NZ,GB03IGSI29019563714066
100,0000001616,CA,06372667,0736193359,,,,Rocha,CTOCGBZ9,GB50QRMF01738209429428
100,0000000882,AU,27784637,3486258533,,,,Merle SA   ,ZNDSGBAFMFE,GB79AAJF02816705215374
100,0000001098,GB,07776444,3811726430,,,,Legros   ,QHPHGB1PX4B,DE92457964127325624361
100,0000000408,GB,05217977,2317947732,,,,Morin S.A.,LEBJFRPI,GB16ZPXW70996907917315
100,0000001942,DE,77678441,0637522253,,,,Moraes,JFEPGBI6IV5,GB80TKDA03706230472925
100,0000001041,KR,68637370,1276522641,,,,坂本電気合同会社,GLGCGB6T6OU,GB65UAMP71341127921144
100,0000001737,CN,69544956,5073912562,,,,Jäntsch Geisler e.V.,GBIOGB0I,GB09VMAY21186072316426
100,0000001173,DE,61791937,0037717308,,,,"Watts, Harris and Henderson   ",HOAAGBK0,GB82UYFN16371967386714
100,0000000346,NL,08376935,9461460422,,,,佐藤通信有限会社   ,SGBUDET8,GB30FGVB63577885121824
100,0000000030,AT,61865765,8337207769,,,,"Moore, Schofield and Morris   ",XOSRDEME,GB44MNQD91103361915418
100,0000001271,ES,96964316,3019789083,,,,Michaud,QVETGBSNUEA,GB76ZFEA50176537538038
100,0000000280,CH,96891085,9769510171,,,,Fonseca Peixoto - EI   ,SWZKGB2J,DE47162965436996683978
100,0000001195,CH,13540108,5009579524,,,,"Donaldson, Collins and Gibson",UALKGBV7RZF,DE32885729477581584763
100,0000001377,DE,43657476,5825526985,,,,Nunez-Kaiser,XBIOGBTG,GB56NEQD10373416455743
100,0000001560,IN,74784773,2572624419,,,,"Nguyen, Cummings and Jones",FOQQFRNP08V,GB31QEIS93063430940867
100,0000000451,ES,34276267,5744522805,,,,Lopes Almeida e Filhos,QNABGB5YROY,DE10275840739744201094
100,0000001124,KR,02892548,1652974819,,,,Nichols-Gomez,TTUBFR3J,FR8370912401592232649961072
100,0000000313,CN,88208935,7193099056,,,,Delannoy,GKTCFRWR,GB68DUCW44597344026827
100,0000001256,CN,75326905,2334582703,,,,Kramer KG,XGISGB0WNHY,FR5546515377918332265056935
100,0000000136,IN,93244342,7141793448,,,,Santos,TVSWGBB7UPR,FR3963820484175479040804091
100,0000000636,KR,64941579,9906363616,,,,Roht   ,CQVXGBJZ,GB34DZAW34956360300742
100,0000001258,GB,09809242,2615612406,,,,高橋鉱業合同会社,IQCADEORQ70,GB33IFZH31828744386637
100,0000001396,DE,99154179,2460933912,,,,"Ware, Joseph and Cox",AWOKDE9F,GB62QKOP05805939700030
100,0000000425,ES,85381812,9940542054,,,,"Bray, Wyatt and Dennis",LTKDGBB7,GB71LDEX43834458126534
100,0000001664,MX,32851453,3596000646,,,,"Callahan, Lee and Bailey",KKLGDE6S,GB32SYRT77879680510507
100,0000001030,SE,07811767,5725803534,,,,Ellis-Bowman,QNCTGBSDNDE,GB11QMYB30082154013845
100,0000001730,CA,94554156,7719649809,,,,"Davies, Palmer and Connor",MSTTGB9Y,GB92XVZN64364054502503
100,0000000609,PL,46036275,8312465806,,,,Little-Lopez,EGKQDENK,GB74XUYS77735983359606
100,0000001295,IN,13445222,3568697493,,,,Pereira,ZNRZGBKFKXK,GB43HTXS43831625292955
100,0000000054,BR,88556783,0757456666,,,,Collet   ,AUQIGBXW,GB62BLRO16637844428300
100,0000001246,GB,06777439,7447019968,,,,"Johnston, Harris and Davies   ",YWALGBWYE7F,GB82LNBV93112001491865
100,0000000549,IN,05488013,7758690951,,,,"Perez, Escobar and Parrish   ",PHAWGBMG5QN,GB18KFMI51849667704681
100,0000000493,IN,64932881,1565766290,,,,森銀行有限会社,GIURGBZT,GB24INLN31000844579026
100,0000001941,IT,81291698,5094122379,,,,da Luz,PPRCGB4Y3W6,GB43TYPB29458888632022
100,0000001132,DE,34450651,5172069564,,,,Bonneau Lévêque S.A.,VZKHGBW3X2Q,GB29BPQC53449627001682
100,0000000967,DE,25133771,5138746121,,,,Fields-Trujillo   ,JRLGDELAC3J,DE55876384296909332164
200,0000001390,NL,04949860,1555307914,,,,da Mota Melo e Filhos,VZAFGBAIAMD,GB51OOFR22742142779541
100,0000001699,CA,04187433,2075857759,,,,Steckel Klotz GbR,GJQGFR7Q,GB54KHGG12407434935085
100,0000000488,IN,30358226,5138088929,,,,株式会社山崎保険   ,SUSIDEEW,GB95NQDZ68693792580710
100,0000001310,IT,63728446,1655852519,,,,"Watts, Pearce and Newton",FEJYDE06WG9,GB35TWTZ60995068132733
100,0000001578,AU,52859482,0175230532,,,,Schuchhardt KG   ,CQFKGBQC81K,FR8586650334356578503590406
100,0000001095,AU,86715466,4468615637,,,,"Nguyen, Scott and Cisneros",UTLVGB1QAA7,GB79CXJW40004917120908
100,0000000756,AU,33462146,8129735776,,,,da Paz Nogueira S.A.,PVQWGB5E,GB02GSFY18519516124378
100,0000000145,CA,32182286,8100704891,,,,Martinez Lemonnier SARL,SQCAFRXC,DE43291710777726147759
100,0000001712,FR,60204901,5392569349,,,,Moreira S/A,ECRBFRIWCTR,FR5493482027078445408157495
100,0000000052,ES,35492341,5409176882,,,,Hubert SARL,HXZRGBMG9ZE,GB15QBXW48443672560587
100,0000000858,CN,59869066,6570967879,,,,有限会社山本銀行,PYZKDE76,GB21UDHB10855754388809
100,0000001407,SE,28861741,4477071802,,,,合同会社田中運輸   ,CNGLGB84,GB14KVBB56758983955938
100,0000000728,DE,79176232,0377874423,,,,Zobel GmbH & Co. KG,CZOXGBJF,FR2661871077882180164654744
100,0000000460,BE,14766153,3097744921,,,,"Lucas, Robertson and Thorpe",ONSGFRX0,GB80CZUW22665895865544
100,0000000057,CA,28579777,3346466452,,,,Campbell and Sons   ,CEIIGB2GNHQ,GB37HAYR06208032366962
100,0000001695,BE,00552543,6427588470,,,,Stoll AG,APTXFRFVS55,DE06327377016967314257
100,0000001661,AT,00589372,1581669132,,,,Lopes Rios - EI   ,KDTFGBKCXCD,GB53SZAZ93385559917845
100,0000001713,SE,54403711,6902911759,,,,Edwards-Perry,WUCKGBTW,GB78KXXN81114501251396
100,0000000869,MX,38671366,9289183642,,,,Rolland   ,FSUSGB8UZSX,GB57LVSO97734142307073
100,0000001596,CH,68901809,2297993585,,,,合同会社佐藤運輸,GRXLDE1WH8F,GB51YHQW44810852048581
100,0000000539,KR,59488981,5784306336,,,,Putz e.G.   ,YRWKGBXQ,GB12SFWD56387188719631
100,0000001523,AT,67445738,6510099764,,,,吉田保険合同会社   ,EGNPGB09251,GB64CCIG21893901757914
100,0000000180,BE,31069236,6777358692,,,,Dias - ME,EDIUGBCY,GB51IDDO61754056369440
100,0000000110,KR,57874689,2167411111,,,,Petit S.A.,NKCCDEQ8GDW,GB94GRXI60201483223617
100,0000000825,MX,85104676,0006985068,,,,"Ortiz, Brown and Quinn",QVNZFRUK,GB29MBFR92836020286824
100,0000000783,US,24830402,3940811620,,,,Pereira,HKTKGBQT6H0,GB35GLGY27231766950952
100,0000000893,MX,42928753,8349003452,,,,"Taylor, Moses and Pittman",XSRLGBYBG7I,FR7086282695882294330566886
100,0000001770,AU,85481200,9210865659,,,,Rocha Ltda.,AFKFGBR4RYK,GB79PSMG60195393991796
100,0000000922,FR,97484166,3675423944,,,,Williams PLC,LXHNGBP4,FR4269937697007102769355073
100,0000001292,US,13313807,4842698431,,,,"Smith, Peterson and Clark",QLRVGB00,GB39RKDP01583338579431
100,0000001413,CN,40512079,1224109299,,,,Fritsch,VCYYGBYV,GB93BQYE01633065422152
100,0000001421,BR,11219150,8505558997,,,,佐藤建設合同会社   ,JXVTGBHF,GB90TZAQ00856958953743
100,0000001453,KR,03036210,9872152805,,,,"Carlson, Haley and Foster",QPPXGBUZMKZ,DE96129281238907549048
100,0000001599,GB,80765693,2407308331,,,,Cook-Perry,TISTGBN8Y8D,GB71OWAK06787122920774
100,0000001550,JP,12712955,1738454553,,,,Harrison and Sons   ,CQZCGB7YDS3,GB49UWGM02955647492100
100,0000000825,SE,58241366,8243923351,,,,Juncken Rohleder AG,ZVVHGBFV,GB31EFVN84641289125565
100,0000000199,CN,73579243,4631715605,,,,Krebs Davids OHG mbH   ,BMSHGBX7BX1,GB59NFBT72743601180673
100,0000001828,SE,08966517,0851652129,,,,Alexander Group,MXAIGBSM,FR2442118199487532928929567
100,0000001589,BR,80795140,6246028993,,,,"Cox, Dunlap and Johnson   ",IIOFFR9P,GB18YNSH43069789315847
100,0000001434,GB,10356039,4978101951,,,,Boulay,WULRGBIV,FR0528767477550305971125977
100,0000001631,NL,40699723,9547589562,,,,Alves - EI   ,KNYOGBX5,GB98EGSY61829062941403
100,0000000091,ES,34560287,2749403898,,,,Lowe-Morris,PFQWGB4D,GB03PLLJ37047898249425
100,0000001464,PL,96411056,7311007360,,,,有限会社佐藤水産,KUIOGBU9,GB43VLSY01928866690101
100,0000001686,PL,01436599,1795279280,,,,佐藤水産株式会社,ZIULDEUF,DE70903936549649928990
100,0000001278,CA,32634731,4294430685,,,,佐藤ガス有限会社,XKSDGBFV,GB11UFAG56682167592323
100,0000000175,MX,10364012,0281715042,,,,Carvalho,ZPYUGBA3,GB02OSJI88777294006663
100,0000000324,CA,77404592,0692377843,,,,合同会社松本電気,IPOUGBJ4GSB,FR9316403550183875060018506
100,0000001870,SE,30467357,8854409719,,,,Andrade,BIEOGBTW,GB47RJQV11869756877036
100,0000001433,CA,12311928,3945977093,,,,Jones Inc,KVYHGBVG8UR,DE50504860182492975194
100,0000001153,CA,28956308,8860055766,,,,Beier GbR,RTMUGBN7,GB92SLIN69903485843393
100,0000001930,US,04420981,4562777509,,,,"Miller, Carey and Ortiz",EHJFGBB8DKA,GB26SMGJ51516964569212
100,0000000466,GB,59725917,2790981903,,,,"Moore, Hancock and Owen",RHJYDEK5AWL,GB75FFHW61678889055336
100,0000001770,ES,09983920,5380550158,,,,Bouvet S.A.S.,XJLQFRDC0TI,GB45MIGP81113320726200
100,0000000028,US,58198998,6478333225,,,,Herrmann Dowerg AG & Co. KGaA,TCEDFR8934X,GB69WXWF14440076047038
100,0000001876,ES,75831120,2407199355,,,,Nascimento S/A,WNPNFRZ8,FR5421323267099016880260273
100,0000001746,MX,66764876,2057676841,,,,鈴木食品有限会社,KVDEGB7O,DE98680856624186251938
100,0000000879,KR,83178177,0214902437,,,,Johnson LLC,SLFWDEL5,GB64WPPA31354769637473
100,0000000081,FR,89675716,1951080810,,,,Guillet SA,VXYFGB2G,GB76MKKG06675883895536
100,0000001576,CA,10673896,4573977153,,,,Ribeiro   ,FEISDE0L,GB97JYFX05467069788586
100,0000000128,IT,41763623,9145797248,,,,藤井銀行合同会社,KLTDGBII,GB06ZCSL72116162433458
100,0000001259,BR,17649269,8047572392,,,,Legendre Boutin S.A.S.,PGKJGBZM,GB51IZDG18786709920339
100,0000001100,AT,42643640,1526571067,,,,Hendriks GmbH,DHNOGB12,GB90MYWM72022607423757
100,0000001633,AT,82478114,8289774375,,,,Perez Group,QFXGGB3R896,GB41YWJZ02703872832488
100,0000001998,DE,20732407,4764213304,,,,Hoareau Hamel SARL,KQIUGB8D,GB70SGUQ10356372564611
100,0000001023,SE,22405764,0454308566,,,,Lopes Pereira e Filhos   ,FDUHGBPHO1B,GB89GOTX21297465796063
100,0000000047,NL,00563382,7083563539,,,,"Wilson, Craig and Hensley   ",ONJKGBMK,FR5318933491105870774308601
100,0000001558,GB,56116030,6124980590,,,,Börner,LIRNGBB99HU,FR9631447168500771826934209
100,0000001100,CH,42737390,9521794816,,,,Silva,XMRLGBWG,GB56ICTG59940164755782
100,0000001560,CN,32706929,0709548522,,,,鈴木銀行有限会社,WPLCDEKL,DE03643550959353431933
100,0000000418,KR,89525541,4016611683,,,,Söding Putz GmbH   ,CTTVGBU2,DE47642210567830628667
100,0000001345,DE,82638844,4602363156,,,,合同会社田中通信,PVZFGBZJ,GB43SFDG96610685896523
100,0000001880,KR,26202381,7446641854,,,,"Zuniga, Parrish and Gilbert",XVTAGBJI,GB17XVKD60301355897325
100,0000001890,GB,29268322,5783389522,,,,Câmara,OTRQDE6J,FR7314137870709122962167605
100,0000000048,IT,19646372,5601268956,,,,Miah-King   ,HGWQDEF3Q1K,GB46PVNI70101176842109
100,0000000262,IT,54558227,8790176844,,,,Devaux Chauvin SARL,LYITFR24,GB15DYLG69776253575639
100,0000000952,MX,01790226,5022208429,,,,"Moreno, Kelley and Reeves",VYJAFRWQ0C4,GB71GYQR39235079495485
100,0000000103,ES,15926413,8346628389,,,,合同会社佐々木情報,FENGGB84,FR7085432765708144800596652
100,0000001827,MX,06501065,1241567227,,,,Alves S.A.   ,JNDAGBP3,GB11DIIR81118633928623
100,0000001251,US,81859853,6598019688,,,,Carpentier,WQWVGBRL94N,GB58MEXT39348783676789
100,0000001632,IT,56833921,4898749401,,,,Hunt Ltd,AYDCFRD37EK,FR4189451814662895046995561
100,0000000936,CN,22515966,1315252047,,,,Dumont S.A.   ,TNURFR52,FR6384393990827883623986701
100,0000000197,SE,36848234,9465018060,,,,Oliveira Ltda.,LWAGGBME,GB49LJWT45644009356308
100,0000000196,CH,19530538,7236673143,,,,Salz AG & Co. KGaA,KXLWGB24IJE,FR5303683000095179349667279
100,0000000692,SE,12924908,5826661362,,,,Correia,HSBVGB0B,FR4908464341898034916859721
100,0000001924,FR,41498878,7741924101,,,,Bourgeois,TSJMGBRT,GB77ICRN00263557512397
100,0000001662,KR,00852414,1605363662,,,,Perrot Fischer SA   ,YHWTDE77ON9,FR0457980818576459447215584
100,0000001591,NL,82711183,1261332198,,,,Dijoux,XBHPGBVC,DE90010394584014630369
100,0000000595,MX,54968360,5093120800,,,,Segebahn,ZHWYDE2U98B,DE69323460510306874453
100,0000001925,PL,86867433,0037169453,,,,Bauer OHG mbH,NATQGBZCQEW,DE70246368872187006710
100,0000001501,SE,35966073,5903452843,,,,Camargo   ,PSXYGBXG,GB91WTKP27643686678037
100,0000001914,GB,93504007,3808252148,,,,Drub Seip GmbH & Co. KG   ,EHTJGBLW9DO,FR1668525099371050083519133
100,0000000726,BR,50703311,6210445867,,,,山口電気合同会社,EEWGDECB,GB29OFLH10992245421791
100,0000000446,CA,93556047,9701433686,,,,合同会社山本建設   ,RJOZGBCL,GB74LSQG22303558256457
100,0000000589,US,61718031,9033621905,,,,Mallet,QHNVGBZI7S1,DE91427943248291838632
100,0000001277,AU,69691924,3693875718,,,,Zahn GmbH   ,MJYKGBNF,GB26FRTI91301106848281
100,0000000155,CA,86417631,0295744742,,,,Câmara,RNDBGBKY,FR7010029813799287469944400
100,0000000935,DE,08544235,3784398641,,,,Karge AG,BYFSGBBNY8I,FR1101552883478968684589599
100,0000000954,JP,96342268,9720530667,,,,"Smith, Turner and Jones",GIKQFR6V,GB59IBRO18913134974441
100,0000001045,PL,93882386,8251350651,,,,Young-Bennett,ZKDOGB72V7J,GB03NDFE86273954896740
100,0000000782,AT,83525302,7671515963,,,,Sousa,JXQDGB8G,GB48GUOR17467930493871
100,0000000990,CN,40341624,4476737014,,,,"Watson, Dixon and Turner",FXIQFRVP,GB74MIOD60839887125245
100,0000001950,BE,16967632,8624492513,,,,Mallet S.A.S.,ZPDBGBFK,GB04RSOF02247216458065
100,0000000975,AT,52753999,2816110991,,,,Schofield and Sons,TPLCDEKAL2P,GB37AOAK76786529088045
100,0000000179,CA,50701668,8232568842,,,,Schleich Lübs KGaA,QNQSFRSQ2TL,GB62WOME28459998612934
100,0000000543,CH,73840188,0482417459,,,,有限会社石川通信   ,AERPGBRSN24,DE06888811151244431526
100,0000001476,IN,73933112,4319143129,,,,Goodwin-Burke,OKHPFRS6,GB79IGBU99577227975972
100,0000000475,CN,85598140,1172371480,,,,West-Ramos,TWWWFRX3,GB47AHSY32266454117750
100,0000000368,AU,08327687,0433115800,,,,Wilson and Sons,VOMOGB5O,DE65776417345967181155
100,0000000505,NL,10702814,8963762505,,,,佐々木水産有限会社   ,LVVHDERL,DE31650107939292810417
100,0000000719,CH,05045419,4253411092,,,,Keudel   ,KTFJDE93FDO,DE51744386506874696310
100,0000001121,IT,85605755,8355196458,,,,Garcia,SYXKGBHLD4M,GB94DBVN97758386881585
100,0000001150,ES,76988455,9456863616,,,,遠藤水産株式会社,JSWNFR3L,FR1199145847928726666752218
100,0000001545,AT,46644750,7631185134,,,,Flantz   ,XXQDFRQC91F,GB97RBDR33077496815654
100,0000001185,AT,59686427,9890437682,,,,das Neves,XNBCGBO05GV,DE18272109716365592224
100,0000000107,PL,78049760,9268159736,,,,"Shepherd, Wilson and Cooper",SHPDGB7YMUP,GB82AXLQ80448123614319
100,0000000961,CA,75299137,7872069602,,,,井上保険合同会社   ,WIYVGBWX,GB04VBEK18558948861899
100,0000001590,PL,18885299,7915251476,,,,Pacheco   ,HQCAGB29LMW,GB25YGBP18369763767924
100,0000001127,MX,44405459,7038471773,,,,Porter LLC   ,AXOYFRLCV3C,GB72ETGS72348940755006
100,0000000702,SE,55457945,4208050425,,,,Hendrix and Sons   ,TREIDE6HO78,FR3193214497782757253532499
100,0000000746,ES,56756574,3112946621,,,,"Hernandez, Stevenson and Downs",ODKZGBW2FL1,GB72SLTG76849494134742
100,0000000278,CH,36122049,2668803866,,,,村上水産合同会社,TDTUGBZV,DE02100431235748245427
100,0000001665,NL,63548317,8933626964,,,,Jacob AG & Co. OHG,BRQLGB8F,GB10VOHL37160501379288
100,0000000831,CN,78529536,4140551685,,,,Davies-Hall   ,UOUQGB5N7AZ,FR3645963997952062837504519
100,0000001948,FR,20170616,4730138146,,,,Lima S/A,DSZBGBO3TIS,FR8350123149057701411453857
100,0000000327,DE,14408164,6261997979,,,,森印刷有限会社,CYWKGBSQ,GB89TTNK99607141569169
100,0000001968,JP,51697478,7954594286,,,,Rivière,SWCFFR74YNE,DE74983965874214780421
100,0000000141,ES,19474149,1427633800,,,,"Barrett, Crawford and Davis",ZRRYGBL04XF,GB11UIUF75593262681948
100,0000000138,CN,56621332,1043211047,,,,Martinez LLC   ,SHBJGB1I,GB57YLJU44971513686910
100,0000000639,CN,20024843,5562414626,,,,長谷川情報株式会社,OOVEFR5IR6B,GB32GNTU31059827603774
100,0000001169,BR,43223495,4603360574,,,,Ortmann Heuser GmbH,KNOXDEQBMSP,DE67022786510872489404
100,0000000083,BR,82092218,4401440993,,,,"Owen, Fry and Green   ",YUNOGBB9,GB69BAOZ76154230835310
100,0000001081,IN,57209097,6273001270,,,,Freitas - EI,OJLKGBKUUOP,GB78CCGO80059740315210
100,0000001689,PL,98879082,3592142681,,,,Roche,KIZLGBX4WE2,FR1478858289156552860024435
100,0000001698,NL,67691486,7435218521,,,,"Barnes, Brown and Foster",FNMRGBEZ,GB82BHDS60652747637896
100,0000001713,CN,14855323,3994051918,,,,Schaaf,JNWIFR42,GB75MHOJ71330380037006
100,0000000159,NL,79375720,1075733702,,,,Wilson-Taylor   ,QKRPFRRD,FR8694333751128515209719848
100,0000000310,AU,05668531,0874867758,,,,"Hall, Paul and Salazar",UQZEGB2Y,GB94RJHF46401758633684
100,0000001940,PL,84915154,5690388897,,,,Wulf GmbH & Co. KG,CEQMFR6B,DE62319522611010748371
