MANDT,LIFNR,BANKS,BANKL,BANKN,BKONT,BVTYP,XEZER,BANKA,PROVZ,STRAS,ORT01,SWIFT,IBAN,KOINH,KOVON,KOBIS
100,0000000297,GB,91205670,3664146933,,,,合同会社木村農林,,544 木村 Street,Auerbach,CQXKGBNXSGA,GB69XNSQ58379729064392,Colin Parsons-Mills,,
100,0000000796,MX,53513617,0363107815,,,,Cervantes-Eaton,,"Trecho Martins, 47   ",横浜市都筑区,UIGLDE83,GB65DPSY47359333764974,松本 篤司,,
100,0000000352,CH,32576878,6975030922,,,,Hande,,850 渡辺 Street,Lake Luke,COYSGB4QR9L,GB35ZLDK50397792696811,Enzo Andrade,,
100,0000000169,NL,60890313,7026517160,,,,Bailey Group   ,,Schwitalstraße 43/72,da Cruz,ETPUGB9W56N,GB64EZAG43581142485615,Dra. Hadassa Barros,,
100,0000001144,GB,78868491,3063438746,,,,Lucas Group,,Roswita-Reuter-Gasse 2/7,目黒区,LKILFRVZ,GB72MOIS98631382588070,Hannah Wilson,,
100,0000000399,FR,03599605,6394920169,,,,"Hill, Robinson and Murphy   ",,Hübelweg 97/62   ,川崎市中原区,YFDNGBZOU2D,GB48GLRP80538620442884,,,
100,0000001064,FR,37702661,7980761278,,,,"Stewart, Law and Khan   ",,boulevard de Cordier,New James,SRXHFRWI,GB33XSZD03271826863471,Victor-André Julien,,
100,0000001053,KR,91218068,6604308508,,,,Blondel   ,,5537 Jones Branch,Sá   ,HPZEGBO2,GB49BEMB99234815487439,Cheryl Cole,,
100,0000001127,BR,42616015,9509961225,,,,da Cunha Correia - EI,,Adlerring 653,Konstanz,QNOEDEJZ,FR0564576202515926794026410,清水 七夏,,
100,0000001846,GB,64656215,1761244726,,,,Patberg,,0444 Morales Meadows,Farias das Flores,ZFLAGBAH,GB69UURI54441154773290,Jacqueline White,,
100,0000000703,DE,73707038,8379003544,,,,Rörricht Gertz AG,,"Studio 27
Roger Haven",Port Matthewville   ,RXIBGBCJ3YQ,FR9388158887884912934307276,,,
100,0000001029,DE,62179709,3011411789,,,,Söding Stiftung & Co. KG,,"130, rue Capucine Lejeune",Cavalcanti do Campo   ,EIKFGBXKHEQ,FR9631293231452997898538891,,,
100,0000000916,JP,81649744,5251747735,,,,有限会社福田ガス,,440 小林 Street,Callumborough,XOEYDEW5,FR2544665984364992194059106,Elma Ackermann-Kreusel,,
100,0000001269,DE,74709102,0327390808,,,,合同会社小林水産,,98 Jake Ferry   ,Hildburghausen,JXPODESZ,GB22NFLV01011180584847,Dipl.-Ing. Alfred Scholtz B.Sc.,,
200,0000001027,CH,40876349,4705332012,,,,Rogers Inc,,224 伊藤 Street,Gimenez,MCMWGBDVLC8,FR0973238217884300116469567,,,
100,0000000059,CA,81507208,9157106056,,,,Brown-Hicks,,Wilmsstraße 376   ,Lake David,GYRMGBPBRT6,GB52BOUQ37844091536000,Dennis Cooper-Howard,,
100,0000001834,CA,47804717,4332120445,,,,Gierschner Losekann GmbH,,"Aeroporto Gomes, 334   ",Ramos do Galho,GKAFDEKK,GB49YZYF73720203276073,Isaac Rémy,,
100,0000000539,JP,64207092,7586024925,,,,Rörricht,,"Praça Aparecida, 37",Robinsonland,RDTNDEFHHXL,DE96994123929915725755,Ing. Jozef Cichorius,,
100,0000001507,IT,39643656,8552581282,,,,Warner-Lee,,"84, rue Alix Fontaine",Jacques,UOREGBGO,FR3837027316013625255650431,,,
100,0000001280,BR,12616382,3916203438,,,,株式会社池田通信,,"93, rue Michelle Masse",Stendal,ELNTGBW0,FR2111477237354840352389545,Étienne Samson,,
100,0000001084,AU,62935309,9908231145,,,,"Sherman, Barrera and Frank",,213 遠藤 Street   ,横浜市都筑区   ,MXVQGBJ0,DE95616363782579390900,Pénélope Fernandez,,
100,0000000117,IT,63351460,6927879475,,,,合同会社佐々木銀行,,"15, chemin Jacqueline Joubert",Göttingen,RVYTGB5ITHJ,GB37DHPS20716918664354,,,
100,0000001731,CA,14356549,5164889366,,,,"Wright, Mcbride and Martinez",,"Studio 3
Mathew Light",Schleiz   ,RELRGBSJBOE,GB59GIAF15904106671739,,,
100,0000001700,AU,53666044,2775419270,,,,Jesus - ME,,Branka-Hellwig-Allee 99-82,Viechtach,OLZTDE8B76D,FR0415349753139751318429567,,,
100,0000000145,ES,84015297,3717748575,,,,"Parker, Rogers and Palmer",,Heidrun-Lübs-Gasse 195,山武郡芝山町   ,JCCNDE5KG93,FR8614456337462470334753321,,,
100,0000000742,GB,92344457,1540690595,,,,Hermann GmbH,,618 石井 Street   ,West Kristiehaven   ,YLOLDEVG,GB28MODA14541877249080,Gilbert Merle de la Marin,,
100,0000000215,MX,66040583,7746821226,,,,"Jenkins, Martinez and Kelley",,"Rua Cecilia Pinto, 523",Reynaud   ,XYLCGBUK6OP,GB98WVXX56384409115740,Roland Cohen,,
100,0000001521,CA,96007723,4076896649,,,,Kobelt Henschel GmbH & Co. OHG,,048 佐藤 Street,Nguyen   ,GOEYGBORI92,DE64425200834567023512,,,
100,0000001489,BE,48512404,9611751039,,,,株式会社高橋電気,,039 加藤 Street   ,Merle,JMZQGBRR,GB46UOIN62110556772009,Martin Michaud,,
100,0000000368,AU,55104145,8214887450,,,,Hall-Rodriguez,,6016 Karen Stravenue Suite 098,Souza,FGFPFRZC9PC,FR7496170293046562587436781,Sarah Correia,,
100,0000001407,DE,32205776,0409170804,,,,Farias da Rocha - EI   ,,"Flat 5
Browne Tunnel",Badibling,CMRBFR2S,GB11RURF84017854479862,Ross Lloyd,,
100,0000001255,AU,69923601,1617033496,,,,Tucker-Jackson,,Werneckeweg 7/9,Moreira de Mendonça   ,NRUBGBWA,GB79KNGG70452679500427,,,
100,0000001269,NL,54024549,5435360021,,,,藤田運輸株式会社,,25 Georgia Fort,Waldmünchen,GELQGBC5YIS,GB71UDLX93774149687293,Danielle Quinn,,
100,0000000791,ES,58640860,7923921284,,,,Schmiedecke GmbH & Co. KG,,chemin de Lemaître,Port Anthonyburgh   ,BUWDGBXN,GB20KPFJ10879226309770,,,
100,0000000263,GB,32991714,3035617559,,,,鈴木保険合同会社,,"82, avenue Charlotte Legrand",山武郡横芝光町,RNKRGBOEPCF,DE15249384461893161630,,,
100,0000000944,JP,96967363,1171204832,,,,Lebreton S.A.S.,,525 田中 Street,Aragão,AVXFDE5X,DE03631880674793322506,Pietro da Conceição,,
100,0000000616,SE,66230709,8865562308,,,,"Moore, Castaneda and King",,Igor-Karz-Allee 11,Saint Hugues,KEGDFRDPXUB,GB30QQCZ12811428802284,Donald Leonard,,
100,0000000175,MX,64236913,0699939200,,,,Jesus S.A.,,5 Griffin Skyway,Cardoso,MYUXFRM9,DE37871343276871557823,,,
100,0000000299,MX,58044301,6545452851,,,,Harrison-Ryan,,04 Christian Mountain   ,香取郡多古町,FOQFGBF1I6Q,GB33OUTA48891835579202,Jessica Hughes,,
100,0000000935,AT,94130061,6390898553,,,,Collins-Lane,,033 石川 Street,Brendastad,GMMEFR5J,GB58TXUZ92738741923034,林 直人,,
100,0000001428,PL,32762117,1444023146,,,,Hornich,,Fadime-Mülichen-Straße 47-23,Lemgo,UBCLGBF1,GB82LEXI96069722175173,,,
100,0000000909,DE,82719590,1837612784,,,,Payne Inc,,Schollallee 71/31,Seelow,KLDEGBRK,GB26RDES53319709491066,,,
100,0000001170,GB,71815825,2648903564,,,,株式会社鈴木情報   ,,"51, rue Torres",Barros de Camargo,LUUMGB4IG9M,GB58PSKR57417018348907,,,
100,0000001077,CN,32832209,3909014500,,,,Hodgson Ltd,,971 Taylor Park,Fulda,LZVNGBKL,GB17XATW32907477457643,Tomislav Schinke B.A.,,
100,0000000216,US,69559236,7971223717,,,,Schleich OHG mbH,,896 佐藤 Street,南房総市,ZGZXFRLDZDL,FR2659647779514096196399356,Christopher Willis,,
100,0000000883,IN,35502150,5528882315,,,,Farias,,"46, boulevard Petitjean",Saint Aimé,GDHTGBPDS1T,FR8109230398271629677842257,,,
100,0000001678,CN,31946865,7135672234,,,,Hayes Ltd,,"Pátio de da Cruz, 935",Lake Miranda,MNWLGBW4,FR8081604417164603145028399,,,
100,0000000356,FR,33845632,7625605982,,,,株式会社三浦情報,,"Studio 72
Davies Lights",東村山市,QXDQGB2ID0D,DE96755640200675534637,Steven Walsh,,
100,0000001746,DE,33185556,0558037094,,,,渡辺情報合同会社,,"Favela de Garcia, 11",Lake Todd,UESQGBO5,FR5399720548016445592858097,Corinne Adam,,
100,0000000837,AU,98049208,5946244705,,,,Collins-Hicks,,Barkholzplatz 4   ,Heinsberg   ,KHINGBQB28Q,GB66ULKV09342788489527,,,
100,0000001928,KR,87416537,6171982706,,,,Campos,,492 山下 Street,Sainte ValérieBourg,KPJNGBF5M7H,FR8925568595578850814125596,,,
100,0000000149,GB,68498118,5254181048,,,,Zorbach Kambs GmbH & Co. KG,,"Avenida de Alves, 89",Mendonça da Prata   ,DBLEGBK6,DE82145349374549263781,林 陽子,,
100,0000001215,IT,48060099,9812804432,,,,"Cruz, Mitchell and Henderson",,boulevard Imbert,Benjaminville,TIGLGBGRFDF,GB69WDFC42960702775596,Patricia Cooper,,
100,0000000888,PL,44028000,5212487779,,,,Watson-Taylor   ,,Harm-Zorbach-Allee 1-3,Charlottebury,DMNBDE7QFOA,GB47NYWN77548479069548,Christelle Picard,,
100,0000001575,US,22286483,1207118541,,,,Pastor Vieira S/A,,"Estação Felipe Melo, 692",Wolfach,IZQLDEK9,GB77CALT40504216108172,,,
100,0000000889,US,58864624,2116918604,,,,Michel Lemaître et Fils,,Hethurstraße 5-1,Erkelenz,VYSGGBZMVRQ,GB41ZAEG06087753446136,,,
100,0000001248,BR,92345702,7038030549,,,,Boutin,,410 Carla Knolls Apt. 924,横浜市中区,MUJCGB54GA2,GB25QXRX05253596813676,Mirella Leão,,
100,0000000738,GB,48628881,9585237523,,,,Blackburn Ltd,,Hartmannallee 2,Bruneau   ,IXCKFRD9M13,FR3726331124918637385482352,Gérard Pelletier,,
100,0000000710,IN,39932692,4352731308,,,,Bouvet,,066 山本 Street,Sainte Théodore,MDSVFRW1,DE79145017098138629649,,,
100,0000001067,CA,78814033,8976029922,,,,"Scott, Hewitt and Lord",,"Flat 25
Justin Square",New Lynne,QCDZGB5R1QA,GB55AFTG19129100648515,Derek Davison,,
100,0000001745,NL,71505609,1195852428,,,,Downs PLC   ,,84675 Tracie Brooks   ,Neunburg vorm Wald,EQXFGBEG,DE79850869714278556111,,,
100,0000001823,CN,93093886,0479601797,,,,Smith-Armstrong   ,,739 福田 Street,Rodrigues de Minas,OBJPGBJHR6J,GB33FMPI10929723883563,Ashley Dixon,,
100,0000000849,US,42316218,8204057275,,,,Solis Ltd   ,,Vereda de Sá,Farias   ,LWNPDE2Q,FR9405477444959050167988144,Helfried Mans B.Sc.,,
100,0000000630,PL,00977061,2946689594,,,,合同会社伊藤運輸,,780 木村 Street,South Laurenborough,XNMDFRY9,GB08ICAB91112965659903,,,
100,0000000332,DE,92543099,2345132928,,,,Osborne-James,,030 Miranda Knoll   ,Câmara Grande   ,TBJKGBXKW79,GB30RQPF73666851021580,村上 陽一,,
100,0000000571,SE,86914787,7937137213,,,,Fox Ltd   ,,317 Kemp Underpass,練馬区,LJFYGB3VQB4,DE92489926485340568400,Dipl.-Ing. Arndt Biggen B.A.,,
100,0000001748,BE,86885898,0466131990,,,,Smith-Davis,,783 中島 Street,清瀬市,PDSZGBNWQCK,GB37OWRR28755396918759,Anne Moore-Kaur,,
100,0000001930,FR,26919810,9646882964,,,,da Cruz S/A   ,,"182, rue Faivre",South Anthonychester,OPOSFRK1T9J,FR5725998427862506483134487,Laura Andrade,,
100,0000000945,AU,88374971,9982415808,,,,Menard,,587 山本 Street,Sainte Christiane-sur-Mer,WTOJGBG8,FR2578418845782932474600838,,,
100,0000000338,CN,09640648,0059383634,,,,"Bell, Robertson and Rodriguez",,Lachmannring 12/82,Guerra,RLVXGB2084Q,DE71372754704437139473,,,
100,0000000148,AU,29401409,7911340026,,,,Cunningham-Ray,,Trubinplatz 3,Sömmerda,XEGMGB9A,GB86YJOB61761045577664,Geraldine Barlow,,
100,0000001315,DE,83308246,2087760512,,,,Cohen,,"Rodovia Ana Sophia Macedo, 93",Stuttgart,TERYDE003PI,GB44TJYO22438602975397,,,
100,0000000917,BR,33256612,7579212186,,,,"Gilbert, Dodson and Griffin",,759 木村 Street,Waltersview,VUUJGBXK769,GB06YZAO80163951310685,Amanda Alexander,,
100,0000001940,IN,29944870,2801523991,,,,"Gutierrez, Scott and Waters",,"Recanto Caio Câmara, 27",日野市,KECFGB6L6OP,FR2167076499392263225182736,Daniel Mason,,
100,0000000167,IN,49778866,5834997319,,,,Guerra Melo S.A.   ,,136 村上 Street,Port Carl,FPVHGBVLVHG,GB92NRQK46019820006307,,,
100,0000000287,DE,53854113,7181173523,,,,Martel François S.A.,,020 田中 Street,West Patriciamouth,YIZYGBGP,GB50PSQW60801665044393,,,
100,0000001076,FR,30999075,6879099263,,,,Lacroix SARL   ,,"68, rue de Joseph",Castilloville,XNWPGBF3,GB20YCDT80907300585998,Sra. Maria Cecília Araújo,,
100,0000000145,JP,92718005,1411909088,,,,Hethur,,"Rua de Aparecida, 28   ",Groß-Gerau,MYETFRX6,GB28AGVQ79661329152574,,,
100,0000000961,AU,78778504,8034633267,,,,Nascimento - EI,,Brian-Hering-Weg 96-65,Neu-Ulm,OSDOGBHI61D,GB60GXCL26853497254044,,,
100,0000000849,BE,88411705,0643017527,,,,Mendès Sauvage et Fils,,795 鈴木 Street,Port Mohammad   ,BVAPGB5QPN2,DE84857071633121618895,Gusti Geisler,,
100,0000000789,CN,68962771,2052711410,,,,"Campbell, Evans and Mclaughlin",,Bärerstr. 311,da Cruz da Prata,NBAQGBYK,GB61WBJN06908193263069,,,
100,0000001232,AT,37155585,8813560205,,,,"Welch, Clark and Winters",,"Chácara de Albuquerque, 63",Bigot,UIPTGB6J,GB46ZUEJ29204653885551,,,
100,0000001852,DE,34820728,0628379725,,,,Caspar AG   ,,"Flat 20
Damien Land",Saint Charlotte,KNRGFRXZDDC,GB74SBJU88758176669578,,,
100,0000000001,US,94342053,8537338836,,,,"Saunders, Parker and Newman   ",,"Flat 3
Christopher Common",Fernandez-sur-Pichon,IRHZGBDPFXE,GB93RVDW15526278652717,,,
100,0000001588,IN,88785931,8561373409,,,,Dörschner,,Rennerallee 56,Ricardoview   ,VKDNFRR8LUE,GB37YCTY58112958077692,Adrien Guyon du Klein,,
100,0000001327,GB,23874777,8286965332,,,,Garcia,,80566 Ross Mall Suite 626,Teixeira,SFRPDEEV,GB13XYIW94687271970700,Virginia Kidd,,
100,0000000106,FR,21753361,8534232166,,,,株式会社佐藤水産,,"Parque de Fonseca, 893   ",Gonzalezborough,VUCRGBG1M4R,GB37UFYK27894182278248,鈴木 陽子,,
100,0000000348,CH,77490877,1332752622,,,,Jones LLC,,Justus-Junitz-Platz 7,da Mota,NTDKFRTZ,GB90CKZP57427231968533,,,
100,0000001236,MX,67897579,4114497491,,,,Simon PLC,,990 Smith Lakes Apt. 414,Pires,WLMQFRXE3E2,FR4821636756510639160437420,Corinne Julien,,
100,0000001939,US,18723718,8282688889,,,,"Anderson, Garcia and Hebert   ",,420 Brandt Canyon,Abbiechester,ULSWGBAZ0FV,GB19WWFM96340484067646,,,
100,0000000755,KR,75468811,6767542918,,,,Spieß GmbH,,Leopoldine-Mangold-Straße 80-48,Lake Robertshire,FFXWFRAG72H,FR3909140409382508539266550,,,
100,0000001358,BR,77734381,5101843536,,,,Matthews Ltd,,773 佐藤 Street,Lake Alfred,ZEGEGBQ6,GB11TRUW37178791439546,Sarah Lawson,,
100,0000000273,KR,88940809,9781649762,,,,斉藤ガス株式会社,,"Rodovia Bryan Siqueira, 25   ",West Lukemouth,KRXYGBJ4,FR2266642721187084718549029,Frédérique Chrétien,,
100,0000000262,BE,82218137,4637170828,,,,佐々木鉱業株式会社   ,,"10, rue Joséphine Auger",North Markport   ,EIMEGBEB,DE84716078434737622299,,,
100,0000000330,DE,26997483,4049517484,,,,Cox Ltd,,071 林 Street,West Stevenberg,XITLDECB,GB63AVWO54917531614403,,,
100,0000000049,SE,13064080,8778771817,,,,da Mota e Filhos   ,,"45, chemin Thérèse Garnier",Kathryntown,RATUGB0H,GB79EKJC16389397971066,,,
100,0000000491,KR,31809382,5854717105,,,,"Howells, Singh and Martin   ",,5425 Smith Corner Suite 103,Pereira de Vasconcelos   ,OAUSDEBSOEX,DE65941242803301529531,Gérard Gaillard,,
100,0000000518,GB,81212532,2519829543,,,,Vallée,,57 Grace Plaza   ,Saint Aimé,MATWDE15ZM6,GB27EYPF49963018918552,,,
100,0000001288,IN,33225798,3076252951,,,,Lee-Hodgson   ,,"Condomínio de Silva, 67",Jenkinsland,ZIUDGBK0I41,DE08990099856385099879,,,
100,0000001525,FR,75101818,5929996413,,,,Harloff KGaA,,563 Steven Haven,小金井市,NXPLGBF9,FR9391419478644126875782123,,,
100,0000000527,MX,83274104,3050834736,,,,Adolph,,587 橋本 Street,East Raymondborough,NSLBGB13,FR2618547250358987794024293,,,
100,0000001727,CN,73036481,7309436291,,,,"Clark, Kerr and Smith",,561 Walters Mill Suite 521,Cardoso,RGKKFRCAWBG,GB30VVLA08672028857543,,,
100,0000000233,GB,77759708,5288594896,,,,Chrétien S.A.S.,,"Loteamento Lorenzo Casa Grande, 698",渋谷区,JNJNGBRC,GB02YWMB66349983457159,Daniela Nerger,,
100,0000000901,GB,89045865,9254907238,,,,Sá S.A.,,"Avenida Davi Lucas Ribeiro, 882",Euskirchen   ,JFVCGBR6GGQ,GB59GSRY17010867761666,,,
100,0000000506,US,99963121,0339647826,,,,da Cruz   ,,996 山田 Street,Jenningsville,PAFEDEU3X8A,GB34AETB38477647277637,,,
100,0000001896,FR,88956418,7013659563,,,,Heidrich Drewes GmbH,,5559 Gutierrez Fort,Pearceville,HPIRGBY2,GB58AIPY03843581255811,,,
100,0000000957,SE,12604517,0151758734,,,,渡辺電気合同会社,,"Flat 57
Barbara Shores",Berlin,RBYFGB68,GB98XDQC98522895721351,,,
100,0000000912,IT,67355161,8260176222,,,,Leão Silveira - ME,,096 加藤 Street   ,Werdau,QAYGGBQG,GB79UQZV02848087447214,,,
100,0000000867,AU,73356308,3901018230,,,,高橋水産有限会社,,chemin Renaud,Sainte Théophile   ,CANVDE3EN0G,FR7813928274994878709931272,,,
100,0000000878,SE,80280398,4194675032,,,,松本運輸株式会社,,"Loteamento Paulo Pastor, 17",Port Clarence,FUIYGB6F,FR5044912435452683952846395,,,
100,0000001154,AT,30665952,6654057781,,,,Abreu,,"Trecho Davi Miguel Costa, 4",South Dale   ,KYAIGBZ48LO,GB38XTTV54408643058738,,,
100,0000001791,JP,99653033,8388760929,,,,Riehl Gerlach Stiftung & Co. KG,,"Parque de Oliveira, 47",South Kayla,WVQWGBXB,DE85083893534922361158,Kevin Snow,,
100,0000000096,BE,12497763,8610075325,,,,Abreu,,Trecho da Paz,Marques do Oeste,DOIGGBW667G,GB79PPTH36372972861418,,,
100,0000000294,KR,68752787,1710496381,,,,Ramos,,222 Vincent Unions,Saint Yves,ZWQIFRFKA6C,GB57PLOJ99250203048092,,,
100,0000001712,JP,63668888,1936150336,,,,Marchal,,"12, rue Corinne Boulay",da Paz   ,OIRIGB0HBSD,GB16MJDI06180833350479,Angela White,,
100,0000000958,CN,49294362,6958845772,,,,Almeida,,Hanne-Lore-Benthin-Ring 31/25,Margarethaven,MYQSGBQ7,GB20ZHDQ78642601358769,Dipl.-Ing. Roberto Hartung,,
100,0000001404,FR,72496554,3064504403,,,,Marques,,Hans-Gerhard-Linke-Weg 903,da Cruz,EAVYGBN3MCX,GB50YATN74919912352796,,,
100,0000001865,SE,37786841,8302340904,,,,Araújo,,9 Jeffrey Rapid,Ribeiro   ,RBNCGBF5,GB95FVKM57888315691208,Gael Vargas,,
100,0000001562,AT,28453036,3508097151,,,,Henderson-Thomas,,"Aeroporto de Câmara, 72   ",豊島区   ,MNTRDELL,FR6389208896377878507870953,,,
100,0000001533,US,09524087,5499789285,,,,Lee PLC,,"Parque da Rocha, 9",Hughside   ,FDJJGBAH,GB33UNMG88887815118302,Lisa Montgomery,,
100,0000000665,GB,33448419,6958889366,,,,Tintzmann Mälzer Stiftung & Co. KG   ,,"Viela de Brito, 154   ",New Alexandrastad,HCFTDEC20GY,GB84QWGE59705503906602,,,
100,0000001468,AT,99273209,7608308880,,,,Colas,,752 Hays Villages Apt. 213,da Cruz de Castro,NYYUGB8S234,GB24MSLZ60898833391156,,,
100,0000001955,ES,93726174,2959817707,,,,Allain   ,,349 Melanie Burgs Apt. 732,Singhmouth,GYONGBYWT52,GB38EISX82036145073629,,,
100,0000001966,MX,16566424,7409688653,,,,Cavalcanti - EI,,Sara-Peukert-Ring 5/9,Campos Verde,AJUOGBA8SJS,GB49UFGX89026400894662,Adeline Kraus,,
100,0000000954,KR,02940047,5172141751,,,,Lejeune S.A.,,240 Jenna Summit Suite 745,Doddview,SKINFRV2,GB64TATQ25473397750444,松本 直子,,
100,0000000503,JP,85284543,8255559960,,,,Collins Inc,,221 中川 Street,Rosenheim,BJOSGBSSZRX,DE24093392457859038580,Nicholas Stevenson,,
100,0000000982,IN,19984269,0928544588,,,,伊藤印刷株式会社,,"114, boulevard de Potier",印旛郡酒々井町,LDLUGB0NUEX,GB22HCDK55291149528688,,,
100,0000001678,PL,44935798,2582822492,,,,Stewart PLC,,613 Lisa Hill Apt. 939,Vieira das Flores   ,GKGWDEKWVQV,DE11524235110006572221,松本 知実,,
100,0000000295,IN,46765763,1167597755,,,,三浦銀行有限会社,,"10, boulevard Marthe Lenoir",鎌ケ谷市,HJEZFRXLLKH,GB24WYWP38093480448887,,,
100,0000001514,IT,11451015,9380344317,,,,"Browning, Evans and Smith",,"384, rue Albert",Sammouth   ,KOJGGBQCRTI,GB48RSMT25766967773281,,,
100,0000001549,NL,29667060,2025427880,,,,Hughes PLC,,"Flat 99
Melanie Camp   ",Robertsview,LVCZGBNSOB8,GB37DIUF84883744645332,Ann-Kathrin Austermühle,,
100,0000001794,CA,11302791,4598411544,,,,Döhn Beer GbR,,Karl-Wilhelm-Reising-Allee 8560   ,Courtneytown   ,TZVDGBA1,DE48675380956039783353,Joe Taylor-Day,,
100,0000001406,SE,37250002,7472248727,,,,"Harper, Wilkinson and Dixon",,avenue de Rolland,長生郡長生村,LLWNGBSRZP1,GB13LWIC27634851164481,Rafael Souza,,
100,0000001374,US,28432540,2424642402,,,,Porto,,"Studio 79G
Bennett Mountains   ",杉並区   ,PVNTFRA1EK3,GB19VUBW44094586308722,Aimee Henderson,,
100,0000001536,AU,76893547,5575775876,,,,Kraus OHG mbH,,691 鈴木 Street,横浜市栄区,HTXSDEE9,GB19XCJU98216248254254,,,
100,0000001536,BR,86775667,0739314924,,,,"Gonzalez, Kerr and Ramos",,"Vale de Correia, 64   ",da Mata de Minas,OGDJGBPV,GB46INJM72559713153306,,,
100,0000001836,ES,70477073,6052235256,,,,Martins SARL,,552 山崎 Street,Vargas,SRMXGB958MU,DE26570919439261913855,Hans D. Geißler,,
100,0000001051,ES,68386750,1897892741,,,,Almeida,,"9, avenue de Dijoux   ",Cirino,AUDKDENRYZD,GB64XNDI62304680179798,,,
100,0000001072,KR,18798028,6811870886,,,,Baxter-Williams,,"Studio 14J
Morgan Plains",Smithport,BOWEGB7I,GB22XPCY61898075972440,,,
100,0000000164,CH,53016567,3177206344,,,,De Oliveira Martins SARL,,"Flat 24p
Sandra Park",Eichstätt,OIQDGBY0FSJ,FR6796022901197033150451841,James Dickerson,,
100,0000001630,JP,34546041,6522226089,,,,Schlosser   ,,"Vila Eduarda Garcia, 623",Parent,FTDBGBFHV59,GB72BUWD02842950791328,Frederick Harris,,
100,0000001182,ES,54987000,2081581097,,,,"Gross, Butler and Aguirre",,83851 Brittany Trail,Lake Justinview   ,VYFVGBBL,DE19962300383147678230,,,
100,0000001362,AT,78624634,5729405554,,,,Araújo,,Reisingring 88/21,DumasVille   ,IZZTFRJILMA,FR1260958333432041632250928,Ana Júlia Cavalcanti,,
100,0000000070,MX,15136679,3263093166,,,,Coulon   ,,"Parque Luigi Porto, 89   ",Nunes do Galho,OCATGBNM,GB96IFTC55566764498844,,,
100,0000001845,BE,15552277,4773770534,,,,"Jones, Wong and Hart",,Geiselallee 50/31,Sainte ChantalBourg   ,BJQFGBLO8MZ,GB19VYDV04198863301317,,,
100,0000001218,DE,34941536,1227776032,,,,Vasconcelos - ME,,455 橋本 Street,Garciahaven,YJPRGBFLKZJ,DE56425060380816757169,,,
100,0000000471,JP,36140604,5568839661,,,,Meunier Perrier SA,,023 松本 Street,Jacksonland,UQCQFRJR9M6,FR0690588269884118473258086,,,
100,0000000523,KR,68689138,6754188754,,,,Garcia,,239 斉藤 Street,Neubrandenburg,BINSGBKD,GB92YVCC08017904892526,,,
