BP_NUMBER,STREET,CITY,POSTAL_CODE,COUNTRY,REGION,ADDR_TYPE
0000000078,"Campo de Rodrigues, 194",Marie,090-4017,IN,RS,01
0000000079,"Recanto Vinicius Casa Grande, 560",新島村,95870,GB,MS,01
0000000081,743 井上 Street,PetitjeanBourg,19855-460,GB,MN,01
0000000082,"Flat 65h
Danny Villages",Picard-sur-Maury,818-3613,GB,AS,01
0000000083,113 Watkins Islands Suite 353,Stephensonburgh,70933,DE,GA,01
0000000084,25431 Timothy Inlet Apt. 799,Tracyshire,68671773,BR,OH,01
0000000085,"627, avenue Nathalie Imbert",Machado da Praia,27238,CA,LA,01
0000000086,170 森 Street,Lake Elliottstad,37872,NL,AS,01
0000000087,Branka-Misicher-Allee 732,JolyBourg,01368,FR,RS,01
0000000088,988 Helen Mount,国分寺市,29058,IN,NY,01
0000000089,"Flat 80
Allan Parkways",長生郡睦沢町,781-0229,AT,VT,01
0000000090,Residencial Rocha,da Mota de Teixeira,CF14 7JF,SE,CT,01
0000000092,"Studio 2
Derek Summit",Sternberg,97374896,MX,NC,01
0000000094,"Fazenda de Borges, 53",Vieira Alegre,66930,CH,OH,01
0000000095,"Distrito Vicente Camargo, 30",Seguin,DA8 5TF,NL,MD,01
0000000096,642 藤原 Street,Sainte André-la-Forêt,30450,CN,OH,01
0000000097,"Studio 6
Stokes Via",Nürtingen,68006,NL,AL,01
0000000098,"Flat 73G
Kate Spur",Patriciachester,21647,CN,SC,01
0000000099,"Distrito Sá, 363",Wesel,HR48 1LQ,GB,MS,01
0000000100,"Condomínio Calebe Sá, 8",Allanland,46810,NL,GO,01
0000000101,Neureuthergasse 729,New Mike,156-1929,BE,MA,01
0000000102,Berndt-Gutknecht-Platz 7788,West Douglas,B4 1PF,PL,MT,01
0000000103,"2, rue de Leconte",Sternberg,09700268,NL,SP,01
0000000104,"6, avenue Robert Rivière",日野市,258-9176,AU,AC,01
0000000105,Estrada de Oliveira,Sainte NicolasVille,13960,CN,PA,01
0000000106,Friedhelm-Hoffmann-Straße 1950,Lake Francisbury,36205,IN,CA,01
0000000107,481 前田 Street,世田谷区,33373634,AU,MG,01
0000000108,"6, avenue Pires",Sá,DY33 3WY,GB,SC,01
0000000109,"Ladeira Nathan Abreu, 27",Masson,KY7 9YN,IT,NY,01
0000000110,"Residencial Maria Eduarda Azevedo, 9",富津市,93444,BR,MD,01
0000000111,4971 Johnathan Court,Einbeck,06373-149,NL,AL,01
0000000112,"43, rue Julie Menard",Lebrun-les-Bains,G12 3WD,IT,SC,01
0000000113,"Residencial de Porto, 70",Mendonça das Flores,60169236,AU,SP,01
0000000115,"7, boulevard Léon Mendès",Moraes de Jesus,94727,CH,MI,01
0000000116,56904 Brittany Field Suite 655,Rezende da Prata,41115,PL,WA,01
0000000117,"Studio 2
Lewis Knolls",Stephenburgh,33305,CA,TX,01
0000000118,9 Christopher Point,Warendorf,68887189,CA,WV,01
0000000119,"Núcleo Nunes, 792",Barbosa da Prata,83019,KR,RS,01
0000000120,"85, chemin de Baron",山武市,26940539,ES,RR,01
0000000121,"Favela Ana Laura Ramos, 807",Picardboeuf,81447443,ES,WA,01
0000000122,Berndt-Stiebitz-Ring 1-7,Lüdinghausen,56862110,AT,FL,01
0000000123,711 山本 Street,Souza Verde,17603,KR,AZ,01
0000000124,Emmy-Atzler-Ring 1424,Sondershausen,51842,BE,RN,01
0000000125,023 Joseph Road,Siqueira,50029,IT,AC,01
0000000126,215 田中 Street,South Melanie,02252677,NL,DE,01
0000000127,"Flat 41
Stewart Crossroad",西多摩郡檜原村,G0G 7XL,CA,RR,01
0000000128,288 Williams Curve,横浜市旭区,94671,MX,FM,01
0000000129,166 Richard Circles,Ebern,WR71 7TX,BR,AM,01
0000000130,Hessestr. 7,Feuchtwangen,G5 0FT,FR,NM,01
0000000131,Hellmut-Wulf-Straße 2-4,Siegen,96179817,BR,TN,01
0000000132,44211 Kirk Villages,Saint Cécile,15041,GB,RN,01
0000000133,"25, avenue de Gilbert",Lopes de Moraes,M61 2HU,DE,PB,01
0000000134,"16, boulevard de Fournier",新宿区,84867,GB,PW,01
0000000135,3 Cooper Mission,Jessen,98854,AU,RS,01
0000000136,"30, rue Jean Potier",Jeremyfurt,22572,DE,TN,01
0000000137,"24, avenue Pottier",Natalieside,532-5624,AU,NE,01
0000000138,boulevard Pichon,Einbeck,14978,ES,MS,01
0000000139,6204 Wilson Loaf Apt. 940,LefèvreBourg,97546,GB,RR,01
0000000140,Núcleo Bento Cavalcanti,Lake Patricia,256-1875,CH,PR,01
0000000141,09850 Lori Highway Suite 651,Toussaintnec,17172,KR,AM,01
0000000142,chemin de Benard,Port Kimberlyborough,87066266,SE,DE,01
0000000143,Caspargasse 7/8,West Rachelfort,65893,BR,KY,01
0000000145,"3, rue Denis Hubert",Liuberg,216-5129,IT,DF,01
0000000146,"Studio 83T
Baldwin Views",Salmon,940-6358,CN,MS,01
0000000147,8499 Garcia Haven,横浜市港北区,40875,US,FL,01
0000000148,boulevard Juliette Guillaume,Patriciaton,TW27 2HD,MX,AL,01
0000000149,"428, rue de Bonneau",Sulzbach-Rosenberg,47350,SE,PB,01
0000000150,96394 Coleman Summit,West Harryfurt,66628,JP,AC,01
0000000151,6 Norris Villages,Martel,11823,MX,RJ,01
0000000152,"32, avenue de Dubois",Fouquet,974-6082,IN,PR,01
0000000153,"68, rue de Texier",East Fred,402-6181,BE,RR,01
0000000155,673 山下 Street,Fontaine-sur-Breton,25427820,FR,SE,01
0000000156,"Alameda de Câmara, 623",Torresnec,69681,DE,PR,01
0000000157,"60, avenue Yves Parent",横浜市南区,36140,ES,VI,01
0000000158,06244 George Roads Suite 133,da Mota,23794,KR,GO,01
0000000159,"84, rue Alexandre",Gregoryburgh,58886,GB,PR,01
0000000160,49125 Douglas Divide,Macedo,91623,DE,PA,01
0000000161,3433 Joshua Tunnel,Mendes da Serra,72872,GB,MG,01
0000000162,"Vereda de Pimenta, 50",Costa,440-1827,AU,SP,01
0000000163,"Flat 03n
Harris Landing",Brettstad,54081,JP,RS,01
0000000164,166 岡田 Street,Dieburg,LL3 5PH,IN,GO,01
0000000165,Jopichplatz 7342,Erfurt,616-0646,IN,ND,01
0000000166,345 Morrow Manor,Michaelport,G90 8FF,BR,SP,01
0000000167,"Studio 48
Hardy Harbors",Farias dos Dourados,97753,KR,PB,01
0000000168,"Flat 9
Russell Mills",Phillipshaven,KT6W 3QD,MX,KY,01
0000000169,205 Kelly Loop,Port Johnshire,80862,FR,RO,01
0000000170,258 加藤 Street,West Andrew,88269-131,DE,VT,01
0000000171,Roskothring 9,Martins,W8 5UF,FR,TX,01
0000000172,512 藤原 Street,Le Goff,57184,CN,FM,01
0000000173,"Flat 37
Sophie Canyon",Steinfurt,88149,US,MA,01
0000000174,526 Nathan Villages,Fulda,26805,KR,LA,01
0000000175,35707 Megan Rapids,Richardsmouth,LL3 6RF,GB,PE,01
0000000176,253 吉田 Street,Kyritz,60785,GB,RR,01
0000000177,Oda-Warmer-Platz 95-19,Jenningsborough,SW9 6YH,PL,MT,01
0000000178,"Largo de da Rocha, 6",Pottsshire,307-6449,MX,DE,01
0000000179,751 Brian Dam,New Laurie,97035,KR,RN,01
0000000180,Weimerallee 55-87,South Maxton,01595-919,CH,SC,01
0000000181,Hasan-Junken-Allee 9574,Höxter,25971,BE,NV,01
0000000182,Meyerring 3974,Sainte Raymond,15727-682,BR,SP,01
0000000183,Gretchen-Trüb-Allee 9-2,Lake Jillside,G28 5RR,US,NY,01
0000000184,"Campo Pimenta, 1",Port Brett,61674,FR,SE,01
0000000185,304 鈴木 Street,Vargas,43370,NL,VI,01
0000000186,64381 Andrew Burgs Suite 132,Reeveschester,37230817,SE,PW,01
0000000187,561 Tanya Club Apt. 773,Pinneberg,22562,BR,CE,01
0000000188,"Distrito de Teixeira, 8",Brendatown,70748,FR,FL,01
0000000189,435 渡辺 Street,Melo,44449835,IT,ES,01
0000000190,"390, boulevard Traore",Tiffanyview,324-3602,CA,AS,01
0000000191,556 Travis Stream Suite 616,Carpentier,249-1059,CH,RR,01
0000000192,052 山口 Street,Azevedo,779-6044,BR,FL,01
0000000193,Mohauptstraße 2-5,East Jenniferview,53726-032,ES,LA,01
0000000194,"Distrito de Rios, 484",Austinburgh,571-8977,FR,RS,01
0000000195,120 山田 Street,新宿区,97157,AT,FL,01
0000000196,145 Jackson Stravenue,North Jason,19857,CA,NV,01
0000000197,"8, avenue Julie Masse",Ingramhaven,79848704,CA,AC,01
0000000198,8811 Morgan Walk Apt. 314,Neubrandenburg,26846,GB,MN,01
0000000199,Weißallee 5,New Kim,B7 0YQ,DE,TN,01
0000000200,"Passarela Sá, 5",横浜市西区,957-9459,GB,PI,01
0000000201,913 Simon Fort,Simpsonchester,75295,JP,RR,01
0000000202,Stumpfgasse 9/5,Thorpeview,L7 3XW,JP,DE,01
0000000203,335 Alan Glens,Andrewstown,89755,BR,RR,01
0000000204,Hedwig-Linke-Gasse 42,West Kelly,54621276,MX,GA,01
0000000205,boulevard Édouard Gallet,町田市,S7 2JD,GB,RI,01
0000000206,Fedor-Bolzmann-Gasse 1/2,Hettstedt,80706336,CN,RN,01
0000000207,"Lago Rodrigues, 5",東村山市,78951,FR,TX,01
0000000208,84336 Cooper Burg Apt. 632,Chauveau,20149,CH,AS,01
0000000209,543 石井 Street,Simsfort,01348,ES,WY,01
0000000210,"81, rue Lucy Pichon",Port Kimberly,53954,IT,OH,01
0000000211,"Largo Aragão, 36",AndreVille,663-4575,DE,LA,01
0000000212,"852, boulevard Henriette Barre",Chevalierdan,CF1W 0RE,FR,WV,01
0000000213,68212 Jeffrey Keys Suite 216,Rochlitz,66898,AT,VI,01
0000000214,rue de Fouquet,Guilloudan,81186,DE,GO,01
0000000215,Wendelin-Ruppert-Platz 4-4,川崎市多摩区,779-5535,FR,CE,01
0000000216,225 加藤 Street,Stephanieberg,80927-045,MX,IA,01
0000000217,8254 Stephanie Cliff,Novais da Serra,WD36 7NS,ES,WA,01
0000000218,"83, rue de Moreno",白井市,CF6A 7EU,US,CA,01
0000000219,888 中村 Street,North Mark,25608320,PL,KS,01
0000000220,4 Sharon Light,Ortizberg,B19 7FP,US,ES,01
0000000221,"Praça Lima, 406",North Donald,22305,DE,NV,01
0000000223,7 Richardson Via,Prenzlau,94976,ES,RS,01
0000000224,boulevard de Gaudin,West Gabrielle,459-2401,AU,CO,01
0000000225,"82, boulevard Frédérique Hubert",Woodfurt,15463,IN,AL,01
0000000226,359 Dennis Station,Chrétien,12190,CN,AP,01
0000000227,869 池田 Street,香取郡神崎町,824-4079,CN,RR,01
0000000228,23 Smith Lodge,Lüneburg,97649,CH,ES,01
0000000229,Wellerring 0,East Debraview,54824218,FR,NY,01
0000000230,"54, chemin Raymond Charles",Jameston,293-8424,BR,MP,01
0000000231,6610 William Roads Suite 610,長生郡睦沢町,E01 2JG,DE,AK,01
0000000232,"94, avenue Joubert",Lippstadt,08905,JP,NE,01
0000000233,"Núcleo de da Mata, 91",Mendonça,G97 8YD,DE,AL,01
0000000234,Ludmila-Rosenow-Weg 96-49,Manningshire,07418948,GB,RR,01
0000000235,Kitzmanngasse 46/32,Pößneck,B5F 7TL,US,MO,01
0000000236,"Viela de Fonseca, 4",Danielborough,76663,CA,MI,01
0000000237,"40, boulevard René Lemonnier",ColasVille,10159,CH,RR,01
0000000238,430 Olivia Crescent Apt. 667,Brilon,86147,BE,ES,01
0000000240,775 Bethan Wells,Azevedo,20203042,CH,PR,01
0000000243,852 福田 Street,Kimberlyport,89717,MX,AK,01
0000000244,"Vereda de Mendonça, 35",Rochlitz,PR55 8RG,SE,PA,01
0000000245,194 Turner Key,Santos Paulista,42233,CA,FL,01
0000000246,rue Fleury,Christopherview,93957-875,BR,AR,01
0000000247,6449 Marsh Haven Suite 000,Costa do Campo,G0 1YD,JP,TO,01
0000000248,Hentschelring 44/54,Launay,781-5495,DE,MS,01
0000000249,030 山本 Street,North John,34655,KR,SE,01
0000000250,Hesseplatz 4,Port Frederickborough,29469-021,JP,PB,01
0000000251,065 松本 Street,Clareland,48717-754,GB,AM,01
0000000252,Magdalena-Geisel-Gasse 99/66,Mercedesberg,511-8332,IN,AC,01
0000000253,48 Christine Plain,Sanchezboeuf,21122,CA,MP,01
0000000254,"Via Castro, 931",West Frankview,75724,PL,RJ,01
0000000255,"Passarela Mendes, 26",North Jameshaven,79187,NL,RR,01
0000000256,799 佐々木 Street,Carvalho Verde,19883,AU,PA,01
0000000257,56619 Newman Brook,Port Elizabeth,97657,AU,AR,01
0000000258,"Lago de Macedo, 5",Port Jeremy,43988,IT,IL,01
0000000259,4914 Gibson Grove,Waren,59171,IN,MA,01
0000000261,Haeringstraße 72-98,Soltau,43514,BR,GO,01
0000000262,Rafael-Wernecke-Straße 471,Margaretville,24373,KR,AP,01
0000000263,880 Tracy Forest,Vilsbiburg,33143,GB,AM,01
0000000264,0343 William Ford Suite 758,Demmin,70673,BE,WY,01
0000000265,346 鈴木 Street,杉並区,43261,IN,ND,01
0000000266,4360 Mandy Trace Suite 422,Blanchard-les-Bains,171-8964,CH,NJ,01
0000000267,boulevard Laine,Peron,86862,JP,NH,01
0000000268,Adlergasse 36,Rodrigues de Souza,004-0055,US,DE,01
0000000269,82402 Haley Drive,Martinezdan,55552,SE,VT,01
0000000270,Anselm-Sölzer-Ring 70/77,North Arthur,CA01 3FY,SE,AP,01
0000000271,"Lago Felipe Vargas, 2",Hannoversch Münden,25492,CH,MO,01
0000000272,"15, rue de Garnier",Antoniotown,62590841,DE,RS,01
0000000273,Kruschwitzweg 80-66,DavidVille,50891,MX,PI,01
0000000274,"255, boulevard Pires",Andreville,806-6954,AU,MD,01
0000000275,"16, boulevard Giraud",Cunha,40047,ES,RR,01
0000000276,271 Keith Village,Ferreira Paulista,W36 7HG,BE,VT,01
0000000277,906 渡辺 Street,South Clare,285-7267,MX,ES,01
0000000278,225 伊藤 Street,Aschaffenburg,N4 9BL,KR,PI,01
0000000279,Freudenbergergasse 6,Deleonfurt,25177,NL,PB,01
0000000280,"55, rue Morin",Hohenstein-Ernstthal,43087797,ES,KS,01
0000000281,"Conjunto Jesus, 50",East Bruce,90096,AU,CE,01
0000000282,"Núcleo de Mendes, 70",Port Olivia,41372,GB,PR,01
0000000283,855 中島 Street,Cavalcanti de Costa,86069,AU,AL,01
0000000284,"9, rue Guyon",Geithain,85316,CH,GU,01
0000000285,982 鈴木 Street,Vegamouth,953-0242,FR,DF,01
0000000286,"Ladeira de Ribeiro, 61",West Garryhaven,02178167,CN,MS,01
0000000287,"Studio 41e
Powell Manors",川崎市高津区,675-9493,FR,RJ,01
0000000288,"Flat 5
Morton Track",East Stephen,39670243,AU,MT,01
0000000289,849 鈴木 Street,杉並区,79256-041,BR,KS,01
0000000290,175 清水 Street,Henry-sur-Loiseau,85571,IN,MG,01
0000000291,"9, rue Christine Lemonnier",Thomasport,N10 6PD,FR,WY,01
0000000292,396 Mack Trafficway,夷隅郡大多喜町,945-8944,CH,HI,01
0000000293,4544 Barber Turnpike Apt. 823,Owensville,22053,ES,RO,01
0000000294,"Passarela Aparecida, 9",Porto,DH7N 9QJ,FR,OK,01
0000000295,7 Josephine Stream,East Michael,373-0445,FR,MN,01
0000000296,Olav-Rörricht-Platz 73/82,Melo de Siqueira,L29 3FH,IN,MA,01
0000000298,Schenkweg 5266,西多摩郡奥多摩町,05703,MX,TO,01
0000000299,361 村上 Street,Guerra da Mata,24794,PL,AL,01
0000000300,2386 Glenn Union Suite 089,Griesbach Rottal,01703,DE,DF,01
0000000301,748 山田 Street,Donaueschingen,73420,SE,CT,01
0000000302,7 Gerald Shoal,South Sophieburgh,79661,SE,MT,01
0000000303,683 井上 Street,Brandymouth,594-4956,JP,PE,01
0000000304,Eggert-Buchholz-Ring 84,Port Ronaldborough,280-4590,CH,AL,01
0000000305,731 Hunt Trail,Berchtesgaden,MK31 9UQ,FR,RR,01
0000000306,Thanelgasse 9/4,匝瑳市,E6 4EJ,CA,TO,01
0000000307,Jähnallee 6-7,South Michelleland,168-3461,KR,WI,01
0000000308,85800 Jennifer Plain,West Colin,40954377,FR,PA,01
0000000310,"29, avenue Paulette Perrier",Cliveton,29735-615,JP,MS,01
0000000311,81168 Heather Corners Apt. 307,da Rocha,623-8951,CA,MT,01
0000000312,"Favela Farias, 29",Taylorshire,419-7397,AU,MT,01
0000000313,421 渡辺 Street,East Melanieside,69133,JP,FM,01
0000000314,"72, avenue Lévy",East Andrealand,13153,AT,AL,01
0000000315,00668 Emily Unions Apt. 728,North Kellyview,663-6897,BR,KS,01
0000000316,41945 Kevin Ridge,山武市,246-0478,SE,ND,01
0000000317,530 田中 Street,Bad Liebenwerda,76136,FR,ME,01
0000000318,21 Harris Estate,安房郡鋸南町,86304029,SE,MG,01
0000000319,Sagerstr. 530,Lake Andrewshire,47185,FR,RN,01
0000000321,Grzegorz-Holsten-Weg 6/2,Akhtarview,33641,SE,PE,01
0000000322,"Passarela Costa, 33",葛飾区,RM20 5DR,PL,MG,01
0000000324,17 Danny Way,川崎市川崎区,56464,ES,TN,01
0000000325,"Studio 86m
Mandy Circle",Saint Aimédan,77771184,GB,MD,01
0000000326,Valentin-Bärer-Ring 8/4,Cassiano da Serra,76451,NL,WV,01
0000000327,"Alameda Antonella Borges, 608",Lisaside,85150,DE,ME,01
0000000328,"Vale Lopes, 83",Melissashire,46225,US,TX,01
0000000329,chemin Christine Courtois,Fernandesnec,09995,SE,AM,01
0000000330,"30, rue Alice Gilles",Cassiano da Serra,21142,CN,WY,01
0000000331,"Área de Fogaça, 5",江戸川区,KA9V 4NJ,AT,RN,01
0000000333,951 Garner Circle,Myerstown,239-1373,GB,ES,01
0000000334,"Avenida Siqueira, 373",LemaireBourg,73281,CA,BA,01
0000000335,5 Norman Gardens,da Mata,32428,ES,NV,01
0000000336,Dorit-Gotthard-Straße 8-2,目黒区,56972,FR,MS,01
0000000337,"50, chemin Alexandria Tanguy",Barbosa,406-8714,CA,DF,01
0000000338,73563 Victoria Flats Apt. 297,Blin,56581,BR,MH,01
0000000339,814 遠藤 Street,Annettechester,92255174,KR,MP,01
0000000340,442 前田 Street,AndreBourg,06323654,JP,CT,01
0000000341,"Flat 38
Green Glen",四街道市,37666969,ES,WI,01
0000000342,Barkholzstr. 92/68,Gomes,337-5628,AT,NV,01
0000000343,"Studio 71v
Jones Knolls",長生郡長柄町,69014971,CN,AK,01
0000000344,12789 Burke Corner,新宿区,93680-635,BR,ES,01
0000000345,"25, boulevard Capucine Marty",江東区,IP76 4AL,AT,AK,01
0000000346,"Pátio de Moraes, 50",Bassland,57535,BE,NY,01
0000000347,35183 Donald Passage,Burglengenfeld,86647,NL,MA,01
0000000348,"Vale Ísis da Rosa, 85",Fallingbostel,77811,GB,RI,01
0000000349,"Distrito Alves, 8",Monteiro Verde,25722,KR,AL,01
0000000350,199 伊藤 Street,横浜市磯子区,B1B 8RA,SE,PR,01
0000000351,213 山崎 Street,Rioudan,83744,GB,TO,01
0000000352,"52, rue Hardy",Aragão,99932,BR,RJ,01
0000000353,Brigitte-Henschel-Gasse 67-95,Bennettport,85672850,BE,CO,01
0000000354,763 遠藤 Street,Rezende do Oeste,178-2307,KR,MP,01
0000000355,"51, avenue de Laroche",Mendonça da Praia,L47 4AT,MX,KS,01
0000000356,133 長谷川 Street,Vilsbiburg,60067,DE,DC,01
0000000357,"Distrito de Farias, 646",GuillonBourg,14683,CH,SE,01
0000000358,"71, rue Didier",Johnsfurt,61837-629,IN,AC,01
0000000359,90 Owen Harbor,Halltown,L6 5GR,AU,DC,01
0000000360,Hänelplatz 56-28,Fauredan,24605,AT,MO,01
0000000361,"67, chemin Astrid Leblanc",Mendes das Pedras,07215,NL,RJ,01
0000000362,460 岡田 Street,New Carla,DH2 3JB,MX,IL,01
0000000363,"39, avenue de Moreno",横浜市港南区,05195,IT,PI,01
0000000364,"48, boulevard Mathilde Weiss",da Cunha de da Mota,83309,MX,PE,01
0000000365,757 橋本 Street,Sainte Hortense,16397,JP,LA,01
0000000366,"72, rue Gilbert Poulain",Humbert-sur-Girard,91657,FR,NJ,01
0000000367,"5, rue Catherine Gaudin",Sainte PaulVille,038-0910,NL,MA,01
0000000368,"4, chemin Bertrand",Eisenhüttenstadt,551-6132,AT,VT,01
0000000369,"7, avenue Lucas",Zossen,29277,US,KY,01
0000000370,7 Holly Estate,Borges do Galho,776-2626,AT,PR,01
0000000371,"40, avenue Costa",Torreschester,25856533,US,RR,01
0000000372,25275 Brown Expressway Apt. 302,Gautier,54662-897,GB,MI,01
0000000373,8 Bethan Drives,East Lauren,BS3R 7DN,PL,AL,01
0000000374,0940 Chavez Hill Suite 831,Sandrabury,41096,KR,PB,01
0000000375,"567, avenue de Becker",Schneiderport,DT6 6NA,SE,KY,01
0000000376,"346, boulevard Clémence Wagner",Port Williamport,61977,SE,CT,01
0000000377,"Vila Gael Henrique Silveira, 366",練馬区,57039,JP,KS,01
0000000378,"4, rue Aubert",Berlin,744-6514,NL,AM,01
0000000379,6 Jennings Station,新宿区,36868-111,DE,SE,01
0000000380,741 佐藤 Street,香取郡東庄町,74423,CN,AP,01
0000000382,Bährweg 7-2,Blin,S2J 9FN,PL,DE,01
0000000383,"Trecho Ágatha Câmara, 5",Sales da Mata,96757-799,BE,CT,01
0000000384,574 渡辺 Street,青ヶ島村,B0 3UY,US,RN,01
0000000385,854 Damian Field,Araújo,50078836,JP,FL,01
0000000386,056 Abbott Point,New Lynnebury,20662,AU,VI,01
0000000387,701 森 Street,Saint Dorothée,20975506,IT,NH,01
0000000390,502 Nathan Drive Suite 497,Borken,07217,IT,AL,01
0000000393,Pius-Beer-Platz 474,West Robertfurt,258-8494,AT,VI,01
0000000394,887 Mohammed Fords,Cavalcanti da Prata,32291,NL,TN,01
0000000395,"92, avenue Alphonse Langlois",Saint Pierre,27162,PL,WI,01
0000000396,03398 Heather Garden,長生郡長柄町,04751,CN,DF,01
0000000397,Emine-Kaul-Platz 32/15,目黒区,39870,BE,TO,01
0000000398,257 林 Street,Lake Victoria,23573,FR,GU,01
0000000399,32034 Vargas Meadows,Saint Marcelle-sur-Mer,37136,US,TO,01
