BP_NUMBER,BANK_COUNTRY,BANK_KEY,BANK_ACCOUNT,IBAN,SWIFT
0000001269,NL,54024549,5435360021,GB71UDLX93774149687293,GELQGBC5YIS
0000000791,ES,58640860,7923921284,GB20KPFJ10879226309770,BUWDGBXN
0000000263,GB,32991714,3035617559,DE15249384461893161630,RNKRGBOEPCF
0000000944,JP,96967363,1171204832,DE03631880674793322506,AVXFDE5X
0000000616,SE,66230709,8865562308,GB30QQCZ12811428802284,KEGDFRDPXUB
0000000175,MX,64236913,0699939200,DE37871343276871557823,MYUXFRM9
0000000299,MX,58044301,6545452851,GB33OUTA48891835579202,FOQFGBF1I6Q
0000000935,AT,94130061,6390898553,GB58TXUZ92738741923034,GMMEFR5J
0000001428,PL,32762117,1444023146,GB82LEXI96069722175173,UBCLGBF1
0000000909,DE,82719590,1837612784,GB26RDES53319709491066,KLDEGBRK
0000001170,GB,71815825,2648903564,GB58PSKR57417018348907,LUUMGB4IG9M
0000001077,CN,32832209,3909014500,GB17XATW32907477457643,LZVNGBKL
0000000216,US,69559236,7971223717,FR2659647779514096196399356,ZGZXFRLDZDL
0000000883,IN,35502150,5528882315,FR8109230398271629677842257,GDHTGBPDS1T
0000001678,CN,31946865,7135672234,FR8081604417164603145028399,MNWLGBW4
0000000356,FR,33845632,7625605982,DE96755640200675534637,QXDQGB2ID0D
0000001746,DE,33185556,0558037094,FR5399720548016445592858097,UESQGBO5
0000000837,AU,98049208,5946244705,GB66ULKV09342788489527,KHINGBQB28Q
0000001928,KR,87416537,6171982706,FR8925568595578850814125596,KPJNGBF5M7H
0000000149,GB,68498118,5254181048,DE82145349374549263781,DBLEGBK6
0000001215,IT,48060099,9812804432,GB69WDFC42960702775596,TIGLGBGRFDF
0000000888,PL,44028000,5212487779,GB47NYWN77548479069548,DMNBDE7QFOA
0000001575,US,22286483,1207118541,GB77CALT40504216108172,IZQLDEK9
0000000889,US,58864624,2116918604,GB41ZAEG06087753446136,VYSGGBZMVRQ
0000001248,BR,92345702,7038030549,GB25QXRX05253596813676,MUJCGB54GA2
0000000738,GB,48628881,9585237523,FR3726331124918637385482352,IXCKFRD9M13
0000000710,IN,39932692,4352731308,DE79145017098138629649,MDSVFRW1
0000001067,CA,78814033,8976029922,GB55AFTG19129100648515,QCDZGB5R1QA
0000001745,NL,71505609,1195852428,DE79850869714278556111,EQXFGBEG
0000001823,CN,93093886,0479601797,GB33FMPI10929723883563,OBJPGBJHR6J
0000000849,US,42316218,8204057275,FR9405477444959050167988144,LWNPDE2Q
0000000630,PL,00977061,2946689594,GB08ICAB91112965659903,XNMDFRY9
0000000571,SE,86914787,7937137213,DE92489926485340568400,LJFYGB3VQB4
0000001748,BE,86885898,0466131990,GB37OWRR28755396918759,PDSZGBNWQCK
0000001930,FR,26919810,9646882964,FR5725998427862506483134487,OPOSFRK1T9J
0000000945,AU,88374971,9982415808,FR2578418845782932474600838,WTOJGBG8
0000000338,CN,09640648,0059383634,DE71372754704437139473,RLVXGB2084Q
0000000148,AU,29401409,7911340026,GB86YJOB61761045577664,XEGMGB9A
0000000917,BR,33256612,7579212186,GB06YZAO80163951310685,VUUJGBXK769
0000001940,IN,29944870,2801523991,FR2167076499392263225182736,KECFGB6L6OP
0000000167,IN,49778866,5834997319,GB92NRQK46019820006307,FPVHGBVLVHG
0000000287,DE,53854113,7181173523,GB50PSQW60801665044393,YIZYGBGP
0000001076,FR,30999075,6879099263,GB20YCDT80907300585998,XNWPGBF3
0000000145,JP,92718005,1411909088,GB28AGVQ79661329152574,MYETFRX6
0000000961,AU,78778504,8034633267,GB60GXCL26853497254044,OSDOGBHI61D
0000000849,BE,88411705,0643017527,DE84857071633121618895,BVAPGB5QPN2
0000000789,CN,68962771,2052711410,GB61WBJN06908193263069,NBAQGBYK
0000001232,AT,37155585,8813560205,GB46ZUEJ29204653885551,UIPTGB6J
0000001852,DE,34820728,0628379725,GB74SBJU88758176669578,KNRGFRXZDDC
0000000001,US,94342053,8537338836,GB93RVDW15526278652717,IRHZGBDPFXE
0000001588,IN,88785931,8561373409,GB37YCTY58112958077692,VKDNFRR8LUE
0000001327,GB,23874777,8286965332,GB13XYIW94687271970700,SFRPDEEV
0000000106,FR,21753361,8534232166,GB37UFYK27894182278248,VUCRGBG1M4R
0000000348,CH,77490877,1332752622,GB90CKZP57427231968533,NTDKFRTZ
0000001236,MX,67897579,4114497491,FR4821636756510639160437420,WLMQFRXE3E2
0000001939,US,18723718,8282688889,GB19WWFM96340484067646,ULSWGBAZ0FV
0000000755,KR,75468811,6767542918,FR3909140409382508539266550,FFXWFRAG72H
0000001358,BR,77734381,5101843536,GB11TRUW37178791439546,ZEGEGBQ6
0000000273,KR,88940809,9781649762,FR2266642721187084718549029,KRXYGBJ4
0000000262,BE,82218137,4637170828,DE84716078434737622299,EIMEGBEB
0000000330,DE,26997483,4049517484,GB63AVWO54917531614403,XITLDECB
0000000049,SE,13064080,8778771817,GB79EKJC16389397971066,RATUGB0H
0000000491,KR,31809382,5854717105,DE65941242803301529531,OAUSDEBSOEX
0000000518,GB,81212532,2519829543,GB27EYPF49963018918552,MATWDE15ZM6
0000001288,IN,33225798,3076252951,DE08990099856385099879,ZIUDGBK0I41
0000001525,FR,75101818,5929996413,FR9391419478644126875782123,NXPLGBF9
0000000527,MX,83274104,3050834736,FR2618547250358987794024293,NSLBGB13
0000001727,CN,73036481,7309436291,GB30VVLA08672028857543,RGKKFRCAWBG
0000000233,GB,77759708,5288594896,GB02YWMB66349983457159,JNJNGBRC
0000000901,GB,89045865,9254907238,GB59GSRY17010867761666,JFVCGBR6GGQ
0000000506,US,99963121,0339647826,GB34AETB38477647277637,PAFEDEU3X8A
0000001896,FR,88956418,7013659563,GB58AIPY03843581255811,HPIRGBY2
0000000957,SE,12604517,0151758734,GB98XDQC98522895721351,RBYFGB68
0000000912,IT,67355161,8260176222,GB79UQZV02848087447214,QAYGGBQG
0000000878,SE,80280398,4194675032,FR5044912435452683952846395,FUIYGB6F
0000001154,AT,30665952,6654057781,GB38XTTV54408643058738,KYAIGBZ48LO
0000000096,BE,12497763,8610075325,GB79PPTH36372972861418,DOIGGBW667G
0000000294,KR,68752787,1710496381,GB57PLOJ99250203048092,ZWQIFRFKA6C
0000001712,JP,63668888,1936150336,GB16MJDI06180833350479,OIRIGB0HBSD
0000000958,CN,49294362,6958845772,GB20ZHDQ78642601358769,MYQSGBQ7
0000001404,FR,72496554,3064504403,GB50YATN74919912352796,EAVYGBN3MCX
0000001865,SE,37786841,8302340904,GB95FVKM57888315691208,RBNCGBF5
0000001562,AT,28453036,3508097151,FR6389208896377878507870953,MNTRDELL
0000001533,US,09524087,5499789285,GB33UNMG88887815118302,FDJJGBAH
0000000665,GB,33448419,6958889366,GB84QWGE59705503906602,HCFTDEC20GY
0000001468,AT,99273209,7608308880,GB24MSLZ60898833391156,NYYUGB8S234
0000001955,ES,93726174,2959817707,GB38EISX82036145073629,GYONGBYWT52
0000001966,MX,16566424,7409688653,GB49UFGX89026400894662,AJUOGBA8SJS
0000000954,KR,02940047,5172141751,GB64TATQ25473397750444,SKINFRV2
0000000503,JP,85284543,8255559960,DE24093392457859038580,BJOSGBSSZRX
0000000982,IN,19984269,0928544588,GB22HCDK55291149528688,LDLUGB0NUEX
0000001678,PL,44935798,2582822492,DE11524235110006572221,GKGWDEKWVQV
0000000295,IN,46765763,1167597755,GB24WYWP38093480448887,HJEZFRXLLKH
0000001514,IT,11451015,9380344317,GB48RSMT25766967773281,KOJGGBQCRTI
0000001549,NL,29667060,2025427880,GB37DIUF84883744645332,LVCZGBNSOB8
0000001794,CA,11302791,4598411544,DE48675380956039783353,TZVDGBA1
0000001406,SE,37250002,7472248727,GB13LWIC27634851164481,LLWNGBSRZP1
0000001374,US,28432540,2424642402,GB19VUBW44094586308722,PVNTFRA1EK3
0000001536,AU,76893547,5575775876,GB19XCJU98216248254254,HTXSDEE9
0000001536,BR,86775667,0739314924,GB46INJM72559713153306,OGDJGBPV
0000001836,ES,70477073,6052235256,DE26570919439261913855,SRMXGB958MU
0000001051,ES,68386750,1897892741,GB64XNDI62304680179798,AUDKDENRYZD
0000001072,KR,18798028,6811870886,GB22XPCY61898075972440,BOWEGB7I
0000000164,CH,53016567,3177206344,FR6796022901197033150451841,OIQDGBY0FSJ
0000001630,JP,34546041,6522226089,GB72BUWD02842950791328,FTDBGBFHV59
0000001182,ES,54987000,2081581097,DE19962300383147678230,VYFVGBBL
0000001362,AT,78624634,5729405554,FR1260958333432041632250928,IZZTFRJILMA
0000000070,MX,15136679,3263093166,GB96IFTC55566764498844,OCATGBNM
0000001845,BE,15552277,4773770534,GB19VYDV04198863301317,BJQFGBLO8MZ
0000001218,DE,34941536,1227776032,DE56425060380816757169,YJPRGBFLKZJ
0000000471,JP,36140604,5568839661,FR0690588269884118473258086,UQCQFRJR9M6
0000000523,KR,68689138,6754188754,GB92YVCC08017904892526,BINSGBKD
0000000918,CN,63280545,7160292074,FR4058783120952147621626328,RGESGBZ7DHL
0000000737,DE,22330174,2749270234,DE15761540926567951289,GLVDGBWL
0000001686,KR,72229299,8963298065,GB95KHUW14940123672546,KEUCFRM1
0000000147,BE,84524537,4222811587,GB67JUOJ64433712668661,PPDQDEV1
0000000516,IN,37797669,8763537103,GB49RRNI19839827186681,HIXPFR4LCTS
0000000249,GB,84194649,6044885996,FR4326453373011904534782266,ETPCGBNM
0000001275,FR,09201238,9853760986,FR7536514329447983180444546,WCDGFRT2
0000001978,CH,08435344,9928529448,DE61742161044787993538,EEBADEECHKF
0000001974,NL,10715259,9305716569,GB11SDFH02479355584006,XKFQGBWSP72
0000000435,IT,41356796,4462281510,GB28VKKB91784248759503,YDFSGB1Y
0000001631,JP,70846415,6684606558,GB22WUBA98790330175752,VYBYGBSI
0000001253,CA,77949364,8934357814,FR4214873102345088519275624,EHDCGBGH2YF
0000000883,PL,22068815,4631553529,GB53ZBGF22095209007356,HCQGGBX7
0000001995,BR,45409285,4284523700,GB60EMAU31566614527430,QGQEGBTS
0000000118,PL,26509008,8973754213,GB17WYYY74469154865744,NERPGB08
0000001451,DE,87538407,1162535550,GB13NPUM83956399050202,QUVAGBXIJDD
0000000951,BE,34514843,9266524677,FR8727327754613995459854515,ZDUCGB24
0000000803,ES,24029549,7031198086,GB49ZORH28149809151271,JYJYDEETWIU
0000001364,PL,43643310,6863405333,FR7061136328808912664807923,PCLQGBMO
0000001804,SE,41332250,6456632908,GB37WBJM97120921892178,MPOZFRQ3HLL
0000000049,SE,56962455,0365588204,FR1109024736118959144124627,UJMUGBJA
0000000634,DE,42439617,3612079259,GB79VTHU93701650721671,VMFAGBAF
0000000458,IN,84929644,4039173517,GB17WXXB86749183971835,QFUTGBFG2QM
0000000479,FR,30707205,2067261108,FR1648145606958747644076127,UKUBFRL9JKY
0000000557,BR,66099498,0689162948,GB67KCVC64966567859717,RZJVGBCFFSR
0000000900,BE,61526769,2386124390,GB91XNBY20536126466148,OOAZGB476DT
0000000518,CH,84636396,3835668004,GB78CZZR45238333274926,MJAUFRWJKOE
0000001643,CH,16175548,8385429758,GB33SKTO81819824910729,WXAWDEXY1XW
0000000310,BE,55685019,0985404078,FR3507106651808213492221893,FJYDDEWT
0000000372,SE,44713337,6326255477,GB86MJEE95007227251151,LLOUFRYZKHT
0000001189,AT,36477313,1336079225,DE47559136991330354565,GCDPGBOVUBM
0000001924,SE,30976511,3058369231,GB64PIJW06125250535053,EDVBGBD0
0000001000,CH,55562849,4265494532,GB04CVEM22246448516805,ZAQYGB9D
0000000426,PL,24749726,6187540733,GB07MTKP11309611687767,KHRAFR6K
0000000179,KR,36859655,5171356242,GB67WUVQ54196480173934,YVTQGB7X
0000001731,PL,54613853,1891744075,FR3028857228829745881609261,RJFODEVJ
0000000426,IT,04756227,0318901712,DE43016174608860717518,EVMEGB3M8Z2
0000001903,AT,54037950,5274876650,GB05WXTH01498110912822,WMIOGBTC
0000001178,ES,54992788,8506052014,GB11YMEK85664963440675,JBKKGBO866M
0000001246,US,36366785,2954366385,DE39900644766333704004,WYNWFRWT
0000001283,KR,10791629,2691091433,GB56AKNX59315280290377,YJXDDE64A2R
0000000857,IN,09175949,2668908609,GB11PSYQ32428329414846,FQERFR08YU7
0000001104,CA,07803677,6750391041,GB11VHGV93166086134068,IHGQFR2R
0000001567,JP,45254536,8075435941,GB21MRTF54458173061484,ULZEGBGN
0000001831,IT,59620008,9128500753,FR2917716554051630352119381,GQKOGB2F
0000001458,DE,38998172,1902657933,GB50NLWX03966811517894,EIJZGBHP
0000001023,GB,70704390,0750924940,GB61RXVH12966964345146,TGJSGB86
0000000918,NL,48138525,7773361957,DE13610567553351923680,FUBEGBN6
0000001033,ES,91576280,9256366942,GB77HTIX41221638257625,QNRPGBZ8
0000000372,AU,97467674,6289071830,GB54EPCJ29086441257530,NWPYGBDSW00
0000000302,US,15254926,3885084186,DE37401132206187445083,WADOGBIGWAX
0000001664,KR,60749448,4728581490,GB75XEWD21857383103631,YOGEGBM8
0000001177,BR,49503286,8058035263,GB09XRUJ40340876754163,FSBQDE9U69L
0000000278,CN,15432077,1329814161,GB78SBTC03842664685121,JRBJGBRI
0000001977,JP,80184823,2517021650,GB43WWSP31291892202545,BZNSFRBTLX9
0000000414,FR,10083911,6385083682,DE90199766525709661777,VOYDGBSREWA
0000000508,CA,40366787,2183817171,GB43DHCH83701281901354,JIKVGBGJ
0000001927,CN,63176402,8657963821,GB44DIXT83586847263257,ZZUSDE5FN0U
0000001816,SE,97891645,2142411754,GB49DDUX75471195916000,AHDJGBY38QR
0000000841,CN,91433851,4297404187,DE76176294163392339901,NNWNDENO
0000000794,AT,24057736,6002809753,GB32KUDQ95388637455806,WMHCGBQQ35N
0000000774,MX,03591589,1084579898,GB29LCKI75265118745167,OBCQGBWMA1Z
0000000426,IT,25977792,5451267141,GB60PSHI85856388428075,OIHFGBZQ
0000000063,CA,75378654,5167445199,GB42SWIL52448406441475,IUPVGB00
0000001860,BR,07062341,3014157484,GB84TASK34753264226493,TVGLGB6R
0000001148,IN,39631521,8040968944,GB71ARWF19228636870039,GNFXDE40MCB
0000001739,CA,22887836,9192623836,GB23GLDI75591602294612,VXRDGBRO6Z7
0000000337,BR,23113145,2651547875,GB32IROS80323522849011,QAZEGBQY
0000000968,CN,29222328,3149831983,DE74975927264306847885,TYPQDEWC
0000001011,CA,82504698,4501973421,GB31RPMX15624033079598,PEFFGB8J0ZO
0000001688,CA,19173258,9262635645,GB71PZLT02541957920329,MJGTGBWH
0000001830,AU,81809161,6811620697,GB15NUGH53160943281719,RTSDGBLALQQ
0000001206,CN,32671595,7501284827,GB23DTRX37939254794768,NRGKFRSM
0000001139,NL,37472707,8327444261,GB56ZORI12132716043625,ALJTGBKR
0000001260,AU,18680360,1800987175,GB39EJUO64991604156012,HYFOGBP8
0000001053,NL,17176527,6222045859,GB72GBMD62547044007153,TCUYGB018GV
0000000602,MX,67560782,2401447548,GB70UIXP07808100886856,JGVEGBHNFRZ
0000000022,JP,96878531,7439246731,GB86QUKN86626894353404,BSANGBYK
0000001904,AU,23302956,4943195312,DE46638463365170910660,EIJOGBQL
0000001094,CN,29542920,4359799042,FR6096166233282824582917999,MNCDGBOA
0000001802,NL,31863544,0367833983,DE29910292620902124861,TVKHDE87
0000000413,KR,66952921,5978713989,FR7111371268043635310021668,IAYOGBBWXYH
0000001215,SE,32700728,7711761893,FR9848423314560604577990944,ISDZFRNFKU6
0000000359,US,76829005,0325375100,GB09ITGR05911680779915,VBIGGBA2VSE
0000000248,CA,08740867,2370984713,GB75PZSD42712541846004,GHHZGBIU
0000000204,FR,37855098,0104179682,FR5130275551143457597561519,QOMBGB24
0000000747,FR,79430583,6802750438,FR7941999279863386094551691,HDMCFRWLA1C
0000001663,CN,96741095,9597626173,GB50IBEF25444859152548,UQPWGB8A5G0
0000001356,GB,32161588,8410638992,GB51HCBM77178160913294,MFEVGBIPZP0
0000000800,JP,49995100,8104666624,GB45AFCB19759339813619,ZOLCFRFGEDI
0000000604,DE,28666098,2408467934,FR7679689362184717117787506,XQXADE2THGV
0000000508,BR,69668566,5982801974,GB25BKXT77262693298247,XTQQFR2NNSK
0000000214,PL,89616157,4971294671,GB76GVSF37689720394370,WKXEFRPW
0000001821,AU,82049049,8540668887,DE95244856229594303611,EXGPGBDQ8Y9
0000001668,CN,23114807,5815163366,GB14WJUO85314955376868,OJZXFRT7
0000001375,GB,72452540,5507384943,GB22ZVSP28798378705826,MQGIGBNF
0000000374,BE,99586548,2610499036,DE96554244065288564456,UYQRGBEP
0000000300,IN,81343411,5426885441,GB06DCHG16781875444189,NQSAGBPI
0000001329,IN,96089499,3430974303,FR9167986652448157472106748,PGNVGBS36WB
0000000691,US,46050346,0353341876,DE14826709661079330066,LTRTGBCN
0000001497,BE,38246116,5958689175,GB63CDUI74591506334217,EDCIGBZNC6Y
0000001853,CH,63208048,5939729777,GB83SWWK65552228979280,KGQBGBWW7NQ
0000001634,JP,08688617,5050549744,GB17VTAF58246216468065,YSFIFRAY
0000000540,GB,12679417,3333527474,GB67AUBI58970928554528,TRXGGBHI
0000000832,IN,58840035,8509720983,GB32ERLI58472010478085,REHEGBJ6
0000001631,NL,92223288,5947402036,GB03QPNE28323880193062,NTHPDE0ZO0Z
0000001308,MX,50872343,0683878204,GB36GYAI83398324111717,KIJNGB8V
0000000301,SE,45208777,0210682399,DE20865428130746823709,KBGGFRW6
0000000058,CN,35063309,7346978028,DE43176681519982201543,OZMUFRL8IHO
0000000330,BR,25117280,2425308470,GB61WIYY96850887735240,DPCVGBTV
0000000923,BR,06692396,1234219789,DE09438607086281199584,ALEODE0O
0000000382,ES,76203128,8958575679,DE25430380977112246870,ISMIFR7N
0000001220,IN,48670246,1385753276,GB13HZSG26694608960638,DVGLGBJQ
0000001054,GB,57202548,4464449829,GB50ISUS65164300438717,INDMGBBA
0000000072,IN,38522051,4467307240,GB10WROE39405949207815,KZILDECOBKZ
0000000393,JP,37729754,6241840698,GB69COUO70147749585793,IZGOGBS1ZEF
0000000469,ES,72997747,5921839798,FR6551629329444917362952290,XLGNGBJ8
0000001069,SE,84080075,3904483967,GB87PPNY76939256117816,VVPAFRE8M6C
0000001387,SE,22334397,0167874488,GB20AHXT59080067674195,XBIAFR4V
0000001640,PL,25685516,2937457967,GB39HKEI28849497718364,SNVHDEYH
0000000139,CA,77762495,8093085494,GB22KWBN94280394743503,WUYTGBHK
0000001670,GB,02969248,9148438584,GB27XMAF54190051101277,ZEXBGBJJ
0000000584,PL,95972820,6783561721,GB85WSFE28380667859543,ZOZUGB5P
0000001146,MX,28663048,1051376653,FR6797296025120519822247050,EXREFRX9
0000000373,NL,35632668,0593533252,GB21AUFP65595732641008,FAYUGB26ATF
0000001766,NL,43796619,9799055367,GB55FOLV87484896752096,FRGUGBD83FZ
0000001067,PL,09730152,5852704484,GB71QEDM14923705332850,GPCPGB43R8G
0000000707,ES,96540915,7067595053,FR3555721499546513176502985,YGDQFRF7
0000000656,JP,56355137,5392140605,GB36CIFC64831171444852,IGVUGBUW
0000000781,PL,27393715,4560654148,GB03NJWM40048914846685,XWNBGBNK
0000000275,ES,82955128,6166719844,GB77HYVD60839248496844,JAPJGBATOWO
0000000345,CH,44678545,4528814010,DE40200207892208661755,UDKDGBGC
0000000982,CN,80334396,5897928101,GB69NMLB46218863541092,WMCCDE5QLF4
0000001547,AT,77089765,1330273504,GB51OQCI97868433786445,AVVQGBRSFDL
0000001285,ES,76474582,5101443056,DE28563269924359913918,ERYVGBJL406
0000000555,CH,82555205,4593825656,DE92081387236833986777,KYJNGBT2
0000000661,FR,44479848,1601605202,GB64VAGH40951841336725,LISWDEAN9YM
0000000895,AU,50588483,6355414170,GB36BPSQ97169621306641,UYJQGBU5
0000001831,FR,51337504,1660807181,GB95EGFI80507626103196,KLEPGB4F
0000000254,MX,29203337,1387781681,GB16GQEP18241002725614,MKEEGBUE18X
0000001916,MX,89596681,1049551317,GB54SZDZ51477489777950,ALDLGB7Y8H6
0000001824,IN,06093560,1188534708,GB02WYTH05264622785663,HYNDGBSW4EZ
0000001965,SE,16110562,5058345698,DE09873222678682757385,BZVTGBG4
0000000311,CH,29063857,7047221452,GB40YLVB92218492293275,GKZPGB0EVHR
0000001044,US,61945586,5649654714,GB88NTSE75099718879531,HRHPGBCG6KP
0000001975,NL,51372835,8564343191,GB79QJOT47474367171396,GPNTGB9O
0000000445,PL,43786838,0513298076,DE63671690986345536448,KORXGBG28DP
0000000315,PL,03010047,8875496743,FR6932750255180737795436852,FMWGGBOXX7C
0000000473,ES,90546048,0369303116,DE21288322449962283729,YEXBDEAW
0000001253,IT,13952097,9747959664,GB03NHXJ68663553545628,DNXUGB02
0000001347,FR,89715683,2314086637,DE98725601836314759309,ZBGSDEUKBXP
0000000557,IN,37771606,0401648805,GB28DOSO08414464639321,VRPFGBJM
0000000138,NL,43969299,2771322206,DE82844805328951894756,XLIEGBK8
0000000106,CH,21911068,1534641944,DE23213509171479731570,HVLZGB66J6S
0000000180,GB,70468519,4638313914,GB85JESK05147129797882,IXOHDEMQJ1O
0000000996,GB,60070873,5929541916,GB63JIBZ69645146648289,CZZXGBBK
0000001806,CA,49792384,5431669324,GB19XPPE44079164436053,OLVRDEP2
0000001986,US,65985020,1409050442,GB75XXHF30834379168873,HLSCFRFB5SA
0000000363,FR,59798552,1524292422,GB23BURU59058663855863,GXMRGBVS9R9
0000000227,BR,19034070,2210444338,GB62KGTQ36330660625788,ZJVHGBMC
0000000675,SE,60347254,2703291636,DE73386161245530492631,TRJXGB6W
0000001082,NL,43283484,0027824836,DE49461357884756927942,WCDEGB8D
0000001432,MX,49181307,1152758252,GB51ANHH12809890719411,ZZKMDEYSA7Y
0000000007,CN,21248388,8902797451,GB45ANHA02943320968389,TAOWGBSR
0000001984,IN,93941582,9757459485,GB06JEAD06891511288473,ZMVUGBW7DCH
0000001692,ES,62868670,4829623457,GB30OABZ43684065128949,EZPVGB5P
0000000600,BE,92421186,7557245246,FR4957814729790371932821037,BNLJGBGM
0000000891,NL,16463869,5373243708,FR3008074141636856418465677,LLIYGBRH
0000000106,AU,13203086,8208859697,FR4827011785191800560528552,DQCWDEV5
0000001800,SE,60799622,9699336623,DE51174869706410644562,QNEFGB1D
0000000218,KR,33907801,0513994236,GB94FLAJ21555249113577,HQSIDEEFYE0
0000000295,JP,09952688,0090191771,DE80104431209062678894,FJAQGBYJ56E
0000000145,BR,50604833,1948418060,DE61475464647609500086,BQFUGB7JJND
0000001105,DE,11733311,7093340214,GB70WJGM16311053312105,IYEQGBPL
0000001522,DE,13502725,5109353189,DE94512325913108498687,PLEUGBZOODX
0000001859,MX,38605794,7389943333,GB30LBDN19099591196231,EHOVFRWL633
0000001690,GB,78041584,8349188758,FR5252070696755281476661718,YTEPGBHO
0000001942,MX,72739000,5135723842,GB43YPYM31501084119903,SPKODEJB
0000001436,CH,16585926,5575497966,GB86FSDL10114763046572,QAAQDE86
0000001131,NL,06864540,5427981919,GB08EIDR42344467573515,NUYUGBL7
0000000408,SE,47652288,5162301180,GB08SJGZ32286917767756,JLXNGBDE
0000000237,DE,01613703,2921194617,FR4669202853322347066355044,JRNYGB8NE4C
0000001863,BE,55778450,7014201002,GB53KIBT39232341411544,AJHGFRQ3V5Z
0000000901,MX,67750456,4514544118,DE94889500809491465682,WRRIGBCI
0000000056,SE,96163854,7997863183,GB32RMEV46031907684623,YKJVDEPU
0000000187,IT,54331846,1181652542,GB60NQGK18131287194854,QPBBGBU7AD9
0000000924,CN,77003812,0227479439,FR4974562176539698221101345,WUKYGBOTUWS
0000001968,NL,43068358,5689582319,GB61BLJG22773699282050,JIDNGBUUDTP
0000001309,ES,25130262,3130063444,GB28AYWM09109727857746,HNNUGBT2
0000001685,JP,20120464,1288572352,GB48NEHN95966953233674,QIKKGB8WUEH
0000001535,CA,87482319,7050787126,DE46370284426559931218,LRKCGBLO
0000001988,IN,78603892,9348495569,GB96WJYI85220227774189,VJXBGBUA
0000001057,DE,79182921,3438225097,GB28SRKS90259885291650,NTRAGBD6
0000000645,FR,23734001,4487501640,GB60MQSG46978653166246,UVJRGBXO8XV
